Project ID,Record ID,Title,Datasets Used,is_flagged,opus_substantive_domains,opus_linkage_mode,opus_analytical_purpose,opus_primary_domain,sonnet_substantive_domains,sonnet_linkage_mode,sonnet_analytical_purpose,sonnet_primary_domain,domain_match,linkage_match,purpose_match,all_layers_match,review_status,preferred_model,final_domain,final_linkage,final_purpose,review_notes
2020/066,2020/066,Evaluation of the Competition and Markets Authority's Covid-19 taskforce,Office for National Statistics: Business Impact of COVID-19 Survey  & Coronavirus and the social impacts on Great Britain ,False,COVID-19 & Pandemic; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,COVID-19 & Pandemic,Within-Domain Linkage,Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,False,True,True,False,,,,,,
2020/099,2020/099,Estimation of energy demand drivers and the effect of public policies on consumption under the climate emergency,"Department for Business, Energy & Industrial Strategy: National Energy Efficiency data 
Office for National Statistics: Annual Respondents Database, Annual Respondents Database, Annual Business Survey, Annual Survey of Hours and Earnings, Products of the European Community, Business Structure Database, Longitudinal Business Structure Database, Annual Inquiry into Foreign Direct Investment, Annual Population Survey  &amp, Labour Force Survey Household, Living Costs and Food Survey 
Institute for Social and Economic Research: Understanding Society 
Department for Business, Energy and Industrial Strategy: Quarterly Fuels Inquiry 
Department for Business, Energy and Industrial Strategy: Community Innovation Survey ",False,Environment & Agriculture; Business & Productivity; Public Finance & Taxation,Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,"Environment & Agriculture; Business & Productivity; Labour Market & Employment; Public Finance & Taxation; Poverty, Inequality & Living Standards",Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,False,True,True,False,,,,,,
2020/121,2020/121,"ISCF Industrial Decarbonisation Challenge Evaluation

","Office for National Statistics: Annual Business Survey, Business Enterprise Research and Development, Business Structure Database  & Low Carbon and Renewable Energy Economy Survey ",False,Business & Productivity; Environment & Agriculture,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Environment & Agriculture; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,False,True,True,False,,,,,,
2020/129,2020/129,"Born into care: Newborns in care proceedings in Wales

",SAIL Databank Databank: 2011 Census Data Welsh residents ,False,Health & Social Care; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Health & Social Care,"Health & Social Care; Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring; Service Interaction / Systems Analysis,Health & Social Care,False,True,False,False,,,,,,
2021/027,2021/027,"SEARCH, SKILLS AND SATISFACTION: THE EMPLOYMENT TRAJECTORIES OF REFUGEES IN THE UK ","Office for National Statistics: Annual Population Survey, Labour Force Survey   & Labour Force Survey  
",False,Labour Market & Employment; Migration & Demographics,Within-Domain Linkage,Life-Course / Trajectory Analysis,Labour Market & Employment,Labour Market & Employment; Migration & Demographics,Single-Dataset,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Labour Market & Employment,True,False,False,False,,,,,,
2021/029,2021/029,What are the relative contributions of different exposures and settings to COVID-19 community transmission? Analysis of community cohort studies linked to national testing data,"Office for National Statistics / University of Oxford: Covid-19 Infection Survey, Covid-19 Infection Survey linked with Combined Vaccination Dataset ",False,COVID-19 & Pandemic,Within-Domain Linkage,Outcome Linkage,COVID-19 & Pandemic,COVID-19 & Pandemic; Health & Social Care,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,COVID-19 & Pandemic,False,True,False,False,,,,,,
2021/033,2021/033,The impact of COVID-19 on small and medium enterprises,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID-19 Survey, Business Structure Database, Longitudinal Inter-Departmental Business Register, Monthly Business Survey 
Department for Business, Energy & Industrial Strategy: UK Innovation Survey ",False,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Policy Evaluation / Impact Analysis; Descriptive Monitoring,Business & Productivity,True,True,False,False,,,,,,
2021/042,2021/042,Understanding the social impacts of COVID-19 under different health restrictions: Longitudinal analysis using the ONS OPN Covid-19 survey,Office for National Statistics: Coronavirus and the social impacts on Great Britain ,False,"COVID-19 & Pandemic; Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring,COVID-19 & Pandemic,"COVID-19 & Pandemic; Poverty, Inequality & Living Standards",Single-Dataset,Descriptive Monitoring; Policy Evaluation / Impact Analysis,COVID-19 & Pandemic,True,True,False,False,,,,,,
2021/048,2021/048,To compare the social and geographical patterning of intergenerational mobility for England & Wales,Office for National Statistics: Longitudinal Study of England and Wales ,False,"Poverty, Inequality & Living Standards; Migration & Demographics",Single-Dataset,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards; Migration & Demographics",Single-Dataset,Life-Course / Trajectory Analysis,"Poverty, Inequality & Living Standards",True,True,False,False,,,,,,
2021/062,2021/062,Post-Pandemic Prosperity ,"Office for National Statistics: Annual Business Survey, Annual Respondents Database, Business Impact of COVID­-19 Survey, Business Structure Database, Longitudinal Inter ­Departmental Business Register, Management and Expectations Survey ",False,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; COVID-19 & Pandemic,Within-Domain Linkage,Descriptive Monitoring; Policy Evaluation / Impact Analysis,Business & Productivity,True,True,False,False,,,,,,
2021/081,2021/081,Digital inclusivity as a way to reduce regional inequalities in the UK,"Office for National Statistics: Annual Business Survey, Longitudinal Inter-­Departmental Business Register 
Department for Business, Energy and Industrial Strategy:  Longitudinal Small Business Survey  & UK Innovation Survey  ",False,"Business & Productivity; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis,Business & Productivity,"Business & Productivity; Poverty, Inequality & Living Standards",Within-Domain Linkage,Inequality / Disparities Analysis; Policy Evaluation / Impact Analysis,Business & Productivity,True,True,False,False,,,,,,
2021/084,2021/084,Evaluation of the UKRI Innovation and Knowledge Centres,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings,  Business Enterprise Research and Development  & Business Structure Database ",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2021/087,2021/087,Examining new spatial and social mobilities to understand the shaping of geographical inequalities across the UK,Office for National Statistics: Longitudinal Study of England and Wales ,False,"Poverty, Inequality & Living Standards; Migration & Demographics",Single-Dataset,Inequality / Disparities Analysis,"Poverty, Inequality & Living Standards","Poverty, Inequality & Living Standards; Migration & Demographics",Single-Dataset,Inequality / Disparities Analysis; Descriptive Monitoring,"Poverty, Inequality & Living Standards",True,True,False,False,,,,,,
2021/102,2021/102,Social and Spatial Mobility,"Office for National Statistics: New Earnings Survey Panel Dataset, Annual Survey of Hours and Earnings, Annual Respondents Database, Annual Business Survey, Business Structure Database 
Institute for Social and Economic Research: Understanding Society, Waves 1-9,  and Harmonised BHPS, Waves 1-18, BHPS, Waves 1-18 ",False,"Labour Market & Employment; Poverty, Inequality & Living Standards",Within-Domain Linkage,Life-Course / Trajectory Analysis,Labour Market & Employment,"Labour Market & Employment; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Labour Market & Employment,True,False,False,False,,,,,,
2021/109,2021/109,Is Britain Fairer? 2020-2021,"Office for National Statistics: Annual Population Survey, Crime Survey for England and Wales ",False,"Gender, Race & Ethnicity; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Inequality / Disparities Analysis; Descriptive Monitoring,"Gender, Race & Ethnicity","Gender, Race & Ethnicity; Poverty, Inequality & Living Standards; Crime & Justice",Cross-Domain Linkage,Inequality / Disparities Analysis; Descriptive Monitoring,"Gender, Race & Ethnicity",False,True,True,False,,,,,,
2021/110,2021/110,UK Productivity Puzzle,"Office for National Statistics: Annual Business Survey, Annual Respondents Database X, Annual Respondents Database, Business Structure Database, Longitudinal Small Business Survey, Prices Survey Microdata 
Department for Business, Energy & Industrial Strategy: UK Innovation Survey  ",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,False,True,True,False,,,,,,
2021/111,2021/111,Re-counting crime: New methods to improve the accuracy of estimates of crime,"Office for National Statistics: Crime Survey for England and Wales, 2011 Census: Aggregate Data",False,Crime & Justice; Data Infrastructure & Methodology,Cross-Domain Linkage,Methodological / Infrastructure Research,Crime & Justice,Crime & Justice; Data Infrastructure & Methodology,Within-Domain Linkage,Methodological / Infrastructure Research,Crime & Justice,True,False,True,False,,,,,,
2021/138,2021/138,Construction of Input-Output Tables for the Economy of Shetland Islands,"Office for National Statistics: Business Structure Database , Annual Business Survey, Annual Population Survey ",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,False,True,True,False,,,,,,
2021/141,2021/141,Exploratory Project: Exploratory Analysis of Health Data Asset,"Office for National Statistics: Annual Population Survey , Births registrations, England and Wales, Coronavirus and the social impacts on Great Britain, Death registration data, Provisional Monthly Extracts ­ England and Wales, Death Registrations, England and Wales, Labour Force Survey,, Linked Census and death occurrences - England and Wales, Vacancy Survey 

NHSD: Public Health Research Database 

Office for National Statistics / University of Oxford / Valuation Office Agency / Ministry of Housing, Communities and Local Government: Covid-19 Infection Survey linked with VOA and EPC data  

Office for National Statistics / University of Oxford: COVID-19 Infection Survey ",False,Health & Social Care; Data Infrastructure & Methodology; COVID-19 & Pandemic,Multi-Domain Linkage,Methodological / Infrastructure Research,Health & Social Care,Health & Social Care; COVID-19 & Pandemic; Migration & Demographics,Multi-Domain Linkage,Descriptive Monitoring,Health & Social Care,False,True,False,False,,,,,,
2021/154,2021/154,Occupational Sorting by Task and English Language: Immigrant/UK born ethnic minorities versus White British,"Office for National Statistics: Census 1991, 2001, 2011",False,Labour Market & Employment; Migration & Demographics,Single-Dataset,Inequality / Disparities Analysis,Labour Market & Employment,"Labour Market & Employment; Migration & Demographics; Gender, Race & Ethnicity",Within-Domain Linkage,Inequality / Disparities Analysis,Labour Market & Employment,False,False,True,False,,,,,,
2021/174,2021/174,Impact of austerity policies and racism on health inequalities observed during the covid-19 pandemic,"Office for National Statistics / NHSD: Public Health Research Database  
Institute for Social and Economic Research: Understanding Society ",False,"Health & Social Care; COVID-19 & Pandemic; Gender, Race & Ethnicity",Cross-Domain Linkage,Inequality / Disparities Analysis; Policy Evaluation / Impact Analysis,Health & Social Care,"Health & Social Care; COVID-19 & Pandemic; Gender, Race & Ethnicity; Poverty, Inequality & Living Standards",Cross-Domain Linkage,Inequality / Disparities Analysis; Outcome Linkage,Health & Social Care,False,True,False,False,,,,,,
2021/184,2021/184,IFoA mortality by cause dataset,"Office for National Statistics: Death Registrations, England and Wales ",False,Health & Social Care; Data Infrastructure & Methodology,Single-Dataset,Methodological / Infrastructure Research,Health & Social Care,Health & Social Care; Migration & Demographics,Single-Dataset,Descriptive Monitoring,Health & Social Care,False,True,False,False,,,,,,
2021/186,2021/186,Understanding sub-national graduates mobility in the years after graduation.,"DfE, DWP and HMRC:  LEO via SRS Iteration 1 Standard Extract

Office for National Statistics: Business Register and Employment Survey, Annual Population Survey",False,Education & Skills; Labour Market & Employment; Migration & Demographics,Cross-Domain Linkage,Descriptive Monitoring,Education & Skills,Education & Skills; Labour Market & Employment; Migration & Demographics,Multi-Domain Linkage,Life-Course / Trajectory Analysis,Education & Skills,True,False,False,False,,,,,,
2022/005,2022/005,Occupational differences in COVID-19 outcomes,"Office for National Statistics / University of Oxford: Covid-19 Infection Survey, Covid-19 Infection Survey linked with Combined Vaccination Dataset 
",False,COVID-19 & Pandemic; Health & Social Care; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,COVID-19 & Pandemic,COVID-19 & Pandemic; Labour Market & Employment; Health & Social Care,Within-Domain Linkage,Outcome Linkage; Inequality / Disparities Analysis,COVID-19 & Pandemic,False,True,False,False,,,,,,
2022/026,2022/026,An investigation into the location decisions of young professionals in urban areas,"Office for National Statistics: Annual Survey of Hours and Earnings, Business Structure Database, Crime Survey for England and Wales 
Institute for Economic and Social Research: Understanding Society: Waves 1-10 and Harmonised BHPS Geography files, Understanding Society ",False,Housing & Planning; Labour Market & Employment,Multi-Domain Linkage,Descriptive Monitoring,Housing & Planning,Labour Market & Employment; Housing & Planning; Crime & Justice,Multi-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Labour Market & Employment,False,True,False,False,,,,,,
2022/027,2022/027,Evaluation of the Strength in Places Fund ,"Office for National Statistics: Annual Business Survey, Annual Survey of Hours and Earnings, Business Structure Database 
Department for Business, Energy & Industrial Strategy: UK Innovation Survey ",False,Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2022/044,2022/044,"Revisiting the ‘China Shock’ – Entrepreneurial firms, employment, and the backlash against globalisation","Office for National Statistics: Labour Force Survey , Longitudinal Small Business Survey ",False,Labour Market & Employment; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Labour Market & Employment,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,False,True,False,False,,,,,,
2022/053,2022/053,Assessing the Economic Impact of the BBC,"Office for National Statistics: Annual Population Survey,
Business Structure Database

Institute for Economic and Social Research: Understanding Society ",False,Business & Productivity,Multi-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,False,False,True,False,,,,,,
2022/071,2022/071,Analysing labour market transitions and progression for disadavantaged populations using linked administrative data,Office for National Statistics: Racial Disparity Audit Data ,False,"Labour Market & Employment; Gender, Race & Ethnicity; Poverty, Inequality & Living Standards",Single-Dataset,Inequality / Disparities Analysis; Life-Course / Trajectory Analysis,Labour Market & Employment,"Labour Market & Employment; Poverty, Inequality & Living Standards; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,Labour Market & Employment,False,True,False,False,,,,,,
2022/100,2022/100,The geography of social and educational mobility in the United Kingdom,"DfE, DWP and HMRC: LEO via SRS Iteration 1 Standard Extract ",False,"Education & Skills; Labour Market & Employment; Poverty, Inequality & Living Standards",Multi-Domain Linkage,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Education & Skills,"Education & Skills; Labour Market & Employment; Poverty, Inequality & Living Standards",Single-Dataset,Life-Course / Trajectory Analysis; Inequality / Disparities Analysis,Education & Skills,True,False,True,False,,,,,,
2022/104,2022/104,"Carbon tax, R&D tax credits and the spatial profile of pollution and innovation","Office for National Statistics: Annual Respondents Database 2 UK, Annual Respondents Database x UK, Business Enterprise Research and Development England, Wales & Scotland, Quarterly Fuels Inquiry UK, UK Innovation Survey ",False,Environment & Agriculture; Business & Productivity,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,Environment & Agriculture; Business & Productivity; Public Finance & Taxation,Within-Domain Linkage,Policy Evaluation / Impact Analysis,Environment & Agriculture,False,True,True,False,,,,,,
2022/118,2022/118,STEM skills inequity across the UK,Office for National Statistics: Labour Force Survey Person ,False,Education & Skills; Labour Market & Employment,Single-Dataset,Inequality / Disparities Analysis,Education & Skills,"Education & Skills; Labour Market & Employment; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,Education & Skills,False,True,True,False,,,,,,
2022/123,2022/123,Evaluating the fairness of admissions to UK higher education,Office for National Statistics: Universities and Colleges Admissions Service ,False,Education & Skills,Single-Dataset,Inequality / Disparities Analysis,Education & Skills,"Education & Skills; Gender, Race & Ethnicity",Single-Dataset,Inequality / Disparities Analysis,Education & Skills,False,True,True,False,,,,,,
2022/143,2022/143,Knowledge Transfer Partnership  Scheme Evaluation,Office for National Statistics: Business Structure Database ,False,Business & Productivity,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Education & Skills,Single-Dataset,Policy Evaluation / Impact Analysis,Business & Productivity,False,True,True,False,,,,,,
2022/146,2022/146,Enterprise Research Centre: SME Growth and Productivity - building the evidence base for SME-policy making,"Office for National Statistics: Annual Business Inquiry, Annual Business Survey, Annual Foreign Direct Investment Survey ­, Annual Population Survey, Annual Respondents Database x, Annual Survey of Hours and Earnings Annual  & Panel, Business Insights and Conditions Survey, Business Structure Database, Business Structure Database: Longitudinal, E-commerce Survey, International Trade in Services, Labour Force Survey Household, Low Carbon and Renewable Energy Economy Survey, Management and Expectations Survey, UK Innovation Survey 	
		
",False,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Business & Productivity,False,True,True,False,,,,,,
2022/163,2022/163,Health and education outcomes of first and second generation migrant children in England and Wales,Office for National Statistics: Longitudinal Study of England and Wales,False,Health & Social Care; Education & Skills; Migration & Demographics,Single-Dataset,Outcome Linkage; Inequality / Disparities Analysis,Health & Social Care,"Health & Social Care; Education & Skills; Migration & Demographics; Gender, Race & Ethnicity",Single-Dataset,Outcome Linkage; Inequality / Disparities Analysis,Health & Social Care,False,True,True,False,,,,,,
2022/176,2022/176,"The local impact of skill deficiencies on performance, productivity and agglomeration","Office for National Statistics: Annual Business Survey, Business Structure Database, Employer Skills Survey, National Employer Skills Survey, Quarterly Labour Force Survey, Research and Development Expenditures and Subsidies, Firm Productivity, Employment Creation and Survival ",False,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity; Labour Market & Employment; Education & Skills,Within-Domain Linkage,Outcome Linkage,Business & Productivity,False,True,True,False,,,,,,
2022/181,2022/181,What cause the decline in UK Job-­to-­Job Mobility in recent decades?,"Office for National Statistics: Annual Business Survey, Labour Force Survey Longitudinal, Labour Force Survey Person, Understanding Society, Vacancy Survey",False,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring,Labour Market & Employment,Labour Market & Employment,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Labour Market & Employment,True,True,False,False,,,,,,
2023/009,2023/009,"Trade, Brexit and Firm Performance","Office for National Statistics: Annual Business Survey - UK, Annual Foreign Direct Investment Survey - UK, Annual Respondents Database x - UK, Annual Survey of Hours and Earnings - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, Business Structure Database Longitudinal - UK, Foreign Direct Investment Index - UK, International Trade in Services - UK, UK Manufacturers Sales by Product Survey, Management and Expectations Survey - Great Britain
Bank of England: Decision Maker Panel - UK
Office for National Statistics, HM Revenue & Customs: Linked Trade-in-Goods/Inter-Departmental Business Register - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,False,True,True,False,,,,,,
2023/022,2023/022,Estimating the effect of online food delivery platforms on consumers and businesses,"Office for National Statistics: Annual Business Survey - UK, Annual Survey of Hours and Earnings - UK, Labour Force Survey Household - UK, Labour Force Survey Longitudinal - UK, Labour Force Survey Person - UK
Department for Business, Energy & Industrial Strategy: Longitudinal Small Business Survey - UK",False,Business & Productivity; Labour Market & Employment,Cross-Domain Linkage,Policy Evaluation / Impact Analysis,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,True,False,False,False,,,,,,
2023/030,2023/030,The effect of inward foreign direct investment on regional productivity and firm dynamics.,"Office for National Statistics: Annual Foreign Direct Investment Survey - UK, Annual Business Survey - UK, Business Structure Database - UK, International Trade in Services - UK, Annual Survey of Hours and Earnings - UK, Business Register Employment Survey - UK, Business Enterprise Research and Development - Great Britain, Quarterly Capital Expenditure Survey - UK, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey",False,Business & Productivity,Within-Domain Linkage,Outcome Linkage,Business & Productivity,Business & Productivity; Labour Market & Employment,Within-Domain Linkage,Outcome Linkage,Business & Productivity,False,True,True,False,,,,,,
2023/061,2023/061,New research and improving research capability on economic growth and productivity,"Office for National Statistics: Annual Business Survey - UK, Annual Respondents Database 2 - UK, Annual Respondents Database x - UK, Business Enterprise Research and Development - Great Britain, Business Register Employment Survey - UK, Business Structure Database - UK, E-commerce Survey - UK, Investment in Intangible Assets Survey - UK, Monthly Business Survey - UK, Management Practices Survey - Great Britain, Vacancy Survey - UK, Monthly Wage and Salary Survey - Great Britain, Annual Survey of Goods and Services - UK, Management and Expectations Survey - Great Britain, Monthly Business Survey for Construction and Allied Trades - Great Britain, Business Insights and Conditions Survey - UK, Monthly Production Inquiry - UK, Short Term Employment Survey - Great Britain, Quarterly Acquisitions and Disposals of Capital Assets Survey - UK, Annual Purchases Survey - UK, RETIRED Mergers and Acquisitions Survey - UK, Monthly Inquiry into the Distributive and Services Sector - UK, Annual Foreign Direct Investment Survey - UK, International Trade in Services - UK, Labour Force Survey Longitudinal - UK, Quarterly Capital Expenditure Survey - UK, Annual Survey of Hours and Earnings - UK
Department for Business, Energy & Industrial Strategy: UK Innovation Survey, Longitudinal Small Business Survey - UK
Bank of England: Decision Maker Panel - UK",False,Business & Productivity,Within-Domain Linkage,Methodological / Infrastructure Research,Business & Productivity,Business & Productivity,Within-Domain Linkage,Descriptive Monitoring; Outcome Linkage,Business & Productivity,True,True,False,False,,,,,,
