trace_id,protocol_subsection,requirement_summary,implementation_status,module,function,test,output_shell,notes,ambiguity_or_conflict
8.7-03,8.7,Recurring triggers require two records or independent pre-reveal streams except documented headline escalation,Tested foundation,analysis.validation.adjudication,recurring_mechanism,tests/test_validation_adjudication.py,release_trigger_summary.csv,Source-revealed adjudicator confirmation is not a second independent source.,
8.8-01,8.8,Support counts use majority-supported random-baseline records only,Implemented foundation,analysis.validation.diagnostics,human_supported; support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Hard-case records are not inputs to the support helper,
8.8-02,8.8,Fewer than 10 positives is descriptive only,Tested,analysis.validation.diagnostics,support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Boundary tests include 0 and 9,
8.8-03,8.8,Ten to 29 positives requires interval and caution,Tested,analysis.validation.diagnostics,support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full metric reporting deferred,
8.8-04,8.8,Thirty or more positives uses standard reporting,Tested,analysis.validation.diagnostics,support_band,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full metric reporting deferred,
8.8-05,8.8,Production prevalence is planning proxy only and COVID is low-prevalence diagnostic,Deferred to Batch 2,,,,tag_diagnostics.csv,No real prevalence or outcome analysis is performed,
8.8-06,8.8,Domain and purpose macro-averages include labels with at least 10 baseline positives and exclude tags and kappa,Tested foundation,analysis.validation.diagnostics,macro_average_eligible,tests/test_validation_schema_parsing.py,per_label_diagnostics.csv,Full empirical macro-average calculation remains deferred,
8.9-01,8.9,Baseline proportions use 95 percent Wilson score intervals,Tested,analysis.validation.intervals,wilson_interval,tests/test_validation_bootstrap_intervals.py,per_label_diagnostics.csv,No Wald interval implementation exists,
8.9-02,8.9,Attempt 2000 project-level bootstrap resamples with seed 20260714,Implemented foundation,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Tests use small toy counts and seeds; formal default is 2000,
8.9-03,8.9,Keep complete project blocks together and sample with replacement,Tested,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Repeated Record IDs remain separate sampled units,
8.9-04,8.9,Do not top up undefined replicates and track statistic-specific validity,Tested,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Attempted valid invalid and reasons are retained,
8.9-05,8.9,Suppress interval below 90 percent valid replicates,Tested,analysis.validation.bootstrap,bootstrap_joint,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Exactly 90 percent remains reportable,
8.9-06,8.9,Calculate percentile intervals from valid replicates only,Tested,analysis.validation.bootstrap,percentile,tests/test_validation_bootstrap_intervals.py,replacement_differences.csv,Hyndman-Fan Type 7 is explicit in protocol v0.15 and equivalent to NumPy/Pandas linear interpolation,
8.10-01,8.10,Exclude training demonstration discussion and pilot records,Tested,analysis.validation.redcap,parse_scratch_export_rows,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv,Candidate-0.3 pilot row is decoded for compatibility then excluded,
8.10-02,8.10,Missing scratch responses follow dimension common complete-case rule,Tested,analysis.validation.schema; analysis.validation.replacement,complete_case_projects; replacement_panel_analysis,tests/test_validation_schema_parsing.py; tests/test_validation_metrics.py,sample_flow_and_completion.csv,Missing coder or dimension is fatal only for affected analysis,
8.10-03,8.10,Project-owner non-response is reported and not imputed,Deferred to Batch 2,,,,project_owner_results.csv,No owner outcome ingestion,
8.10-04,8.10,Owner non-public knowledge is project-informed and does not penalise register model,Deferred to Batch 2,,,,project_owner_results.csv,Owner analysis is deliberately absent,
8.10-05,8.10,Missing or uninterpretable dimension values follow the common complete-case rule; a completed response is not converted to missing merely because the frozen structural validator flags it,Tested,analysis.validation.schema,validate_project; complete_case_projects,tests/test_validation_schema_parsing.py,sample_flow_and_completion.csv,Fatal missing values remain dimension-labelled while readable structural failures are retained unchanged in the primary analysis,
8.10-06,8.10,Readable coherence concerns are retained and flagged,Tested,analysis.validation.schema,validate_project,tests/test_validation_schema_parsing.py,evidence_and_taxonomy_diagnostics.csv,Unclear coexistence and candidate-0.5 fit coherence are examples,
8.10-07,8.10,Instrument-inconsistent sensitivity uses the frozen candidate-0.7 validator and excludes complete projects containing any affected formal scratch response,Tested,analysis.validation.instrument_sensitivity,validate_formal_candidate_0_7_rows; analyse_instrument_validity_sensitivity,tests/test_instrument_validity_sensitivity.py,sufficiency_sensitivity.csv,Primary responses are not mutated; declaration owner QA and historical rows are excluded; the report includes affected counts retained population replacement-panel and applicable per-label primary/sensitivity estimates and differences,
