source_order,field_name,form,field_type,label,choices,validation,branching_logic,required_status,identifier_status,respondent_visibility,intended_analytical_role,standalone_disposition,content_reuse,disposition_rationale,field_note,field_annotation
23,po_d07_label,project_owner,descriptive,"<strong>Housing &amp; Planning</strong><br>Research concerning housing, homelessness, residential conditions, tenure, home ownership, planning systems,  neighbourhoods, gentrification, residential mobility, and place-based housing or planning interventions.",,,[prop_d07] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
24,po_d07_fit,project_owner,radio,Does Housing & Planning describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d07] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
25,po_d07_vis,project_owner,radio,Is the basis for Housing & Planning visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d07] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
26,po_d08_label,project_owner,descriptive,"<strong>Migration &amp; Demographics</strong><br>Research concerning population structure, population change, migration, immigration,  population mobility, fertility, ageing, mortality as a demographic outcome,  census-based population analysis, and demographic composition.",,,[prop_d08] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
27,po_d08_fit,project_owner,radio,Does Migration & Demographics describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d08] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
28,po_d08_vis,project_owner,radio,Is the basis for Migration & Demographics visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d08] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
29,po_d09_label,project_owner,descriptive,"<strong>Environment &amp; Agriculture</strong><br>Research concerning the natural environment, climate, climate adaptation or resilience, energy, agriculture, farming, land use, pollution, decarbonisation, environmental policy, domestic or industrial energy use, and environmental impacts of economic or social activity.",,,[prop_d09] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
30,po_d09_fit,project_owner,radio,Does Environment & Agriculture describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d09] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
31,po_d09_vis,project_owner,radio,Is the basis for Environment & Agriculture visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d09] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
32,po_d10_label,project_owner,descriptive,"<strong>Public Finance &amp; Taxation</strong><br>Research concerning government revenue, taxation, tax compliance, tax credits, public expenditure,  public spending, fiscal transfers, business rates, tax reliefs, and fiscal policy.",,,[prop_d10] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
33,po_d10_fit,project_owner,radio,Does Public Finance & Taxation describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d10] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
34,po_d10_vis,project_owner,radio,Is the basis for Public Finance & Taxation visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d10] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
35,po_d11_label,project_owner,descriptive,"<strong>Data Infrastructure &amp; Methodology</strong><br>Research primarily focused on the methods, measures, tools, classifications, linkage processes, data quality, survey design, statistical infrastructure, or dataset development needed to produce, improve, validate, or use research data.",,,[prop_d11] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
36,po_d11_fit,project_owner,radio,Does Data Infrastructure & Methodology describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d11] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
37,po_d11_vis,project_owner,radio,Is the basis for Data Infrastructure & Methodology visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d11] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
38,po_d12_label,project_owner,descriptive,<strong>Unclear from Register Entry</strong><br>Use only where the project title and dataset field together do not provide enough evidence to assign any substantive domain. ,,,[prop_d12] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
39,po_d12_fit,project_owner,radio,Does Unclear from Register Entry describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_d12] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
40,po_d12_vis,project_owner,radio,Is the basis for Unclear from Register Entry visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_d12] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
41,po_p01_label,project_owner,descriptive,"<strong>Descriptive Monitoring</strong><br>Research whose analytical purpose is to measure and characterise a phenomenon — its level, prevalence,  distribution, composition, profile, trend, or pattern — including how it varies across places, populations,  or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.",,,[prop_p01] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
42,po_p01_fit,project_owner,radio,Does Descriptive Monitoring describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p01] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
43,po_p01_vis,project_owner,radio,Is the basis for Descriptive Monitoring visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p01] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
44,po_p02_label,project_owner,descriptive,"<strong>Outcome Tracking</strong><br>Research that links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome.",,,[prop_p02] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
45,po_p02_fit,project_owner,radio,Does Outcome Tracking describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p02] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
46,po_p02_vis,project_owner,radio,Is the basis for Outcome Tracking visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p02] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
47,po_p03_label,project_owner,descriptive,"<strong>Life-Course / Trajectory Analysis</strong><br>Research that follows individuals, cohorts, households, firms, or cases across extended time periods, transitions,  or life stages to understand trajectories, progression, mobility, or cumulative outcomes.",,,[prop_p03] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
48,po_p03_fit,project_owner,radio,Does Life-Course / Trajectory Analysis describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p03] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
49,po_p03_vis,project_owner,radio,Is the basis for Life-Course / Trajectory Analysis visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p03] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
50,po_p04_label,project_owner,descriptive,"<strong>Service Interaction / Systems Analysis</strong><br>Research focused on how people, cases, families, or organisations move through, use, access, or are processed by public service systems.",,,[prop_p04] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
51,po_p04_fit,project_owner,radio,Does Service Interaction / Systems Analysis describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p04] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
52,po_p04_vis,project_owner,radio,Is the basis for Service Interaction / Systems Analysis visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p04] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
53,po_p05_label,project_owner,descriptive,"<strong>Policy Evaluation / Impact Analysis</strong><br>Research that evaluates the effects, impacts, implementation, or consequences of a specific named policy, programme, regulation, intervention, scheme, or institutional change.",,,[prop_p05] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
54,po_p05_fit,project_owner,radio,Does Policy Evaluation / Impact Analysis describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p05] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
55,po_p05_vis,project_owner,radio,Is the basis for Policy Evaluation / Impact Analysis visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p05] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
56,po_p06_label,project_owner,descriptive,"<strong>Risk Prediction / Early Identification</strong><br>Research with an explicit predictive or early-identification design focused on predicting risk, identifying at-risk  individuals or groups, building risk scores, developing screening tools, or prospectively targeting people or places  before or as an adverse outcome emerges.",,,[prop_p06] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
57,po_p06_fit,project_owner,radio,Does Risk Prediction / Early Identification describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p06] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
58,po_p06_vis,project_owner,radio,Is the basis for Risk Prediction / Early Identification visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p06] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
59,po_p07_label,project_owner,descriptive,"<strong>Methodological / Infrastructure Research</strong><br>Research whose primary purpose is to develop, test, validate, improve, or document methods, data infrastructure, measurement frameworks, linkage approaches,\n survey methods, or data assets. ",,,[prop_p07] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
60,po_p07_fit,project_owner,radio,Does Methodological / Infrastructure Research describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p07] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
61,po_p07_vis,project_owner,radio,Is the basis for Methodological / Infrastructure Research visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p07] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
62,po_p08_label,project_owner,descriptive,<strong>Unclear from Register Entry</strong><br>Use where the project title and datasets do not provide enough information to infer the analytical purpose. ,,,[prop_p08] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
63,po_p08_fit,project_owner,radio,Does Unclear from Register Entry describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_p08] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
64,po_p08_vis,project_owner,radio,Is the basis for Unclear from Register Entry visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_p08] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
65,po_t01_label,project_owner,descriptive,"<strong>Demographic disparities / equity tag</strong><br>A cross-cutting tag for projects whose research question centres on comparing outcomes, experiences, risks, access, or trajectories across demographic or equality-relevant groups.",,,[prop_t01] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Show the model proposal as Yes or No and ask for a verdict for both binary tags; replace the positive-only proposal branch and add the common guards.,,
66,po_t01_fit,project_owner,radio,Does Demographic disparities / equity tag describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_t01] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Show the model proposal as Yes or No and ask for a verdict for both binary tags; replace the positive-only proposal branch and add the common guards.,,
67,po_t01_vis,project_owner,radio,Is the basis for Demographic disparities / equity tag visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_t01] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Show the model proposal as Yes or No and ask for a verdict for both binary tags; replace the positive-only proposal branch and add the common guards.,,
68,po_t02_label,project_owner,descriptive,"<strong>COVID-19 &amp; Pandemic</strong><br>A cross-cutting tag for projects where COVID-19, the COVID-19 pandemic, pandemic conditions, infection surveillance, vaccination, lockdowns, social distancing, pandemic-related public support, or pandemic consequences are a central condition or lens for the research question.",,,[prop_t02] = '1',n,n,visible when its branch is true,proposed_label_and_definition_display,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Show the model proposal as Yes or No and ask for a verdict for both binary tags; replace the positive-only proposal branch and add the common guards.,,
69,po_t02_fit,project_owner,radio,Does COVID-19 & Pandemic describe the actual project?,"1, Fits | 2, Does not fit | 3, Unsure",,[prop_t02] = '1',y,n,visible when its branch is true,owner_proposed_label_verdict,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Show the model proposal as Yes or No and ask for a verdict for both binary tags; replace the positive-only proposal branch and add the common guards.,,
70,po_t02_vis,project_owner,radio,Is the basis for COVID-19 & Pandemic visible in the public register entry?,"1, Clearly visible | 2, Partly visible | 3, Not visible | 4, Unsure",,[prop_t02] = '1',y,n,visible when its branch is true,public_register_visibility_judgement,reusable_with_wording_or_configuration_change,wording_and_configuration_change,Show the model proposal as Yes or No and ask for a verdict for both binary tags; replace the positive-only proposal branch and add the common guards.,,
71,po_miss_domain,project_owner,radio,Is any Research Domain missing?,"0, No | 1, Yes",,,y,n,visible when its branch is true,missing_label_indicator,reusable_with_wording_or_configuration_change,configuration_change_only,"Retain field name, wording/codes and scientific meaning; add assignment-record and acknowledgement guards so contact records never display survey content.",,
