variable,form,field_type,scope,prepopulated,participant_response,branching,required,annotation,construct,analytical_completion,requiredness_rationale,analysis_applicability,notes
po_d02_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d02_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_d02_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_d02_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d02_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d02_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_d02_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_d02_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_d02_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d02_vis] = '1' or [po_d02_vis] = '0' or [po_d02_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_d03_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d03_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d03_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d03_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_d03_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_d03_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d03_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d03_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_d03_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_d03_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_d03_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d03_vis] = '1' or [po_d03_vis] = '0' or [po_d03_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_d04_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_d04_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d04_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_d04_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_d04_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_d04_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_d04_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d04_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_d04_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_d04_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_d04_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_d04_vis] = '1' or [po_d04_vis] = '0' or [po_d04_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_p01_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_p01_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_p01_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_p01_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_p01_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_p01_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_p01_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_p01_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_p01_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_p01_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_p01_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_p01_vis] = '1' or [po_p01_vis] = '0' or [po_p01_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_p02_label,project_review,text,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_p02_def,project_review,notes,project_review_repeat_row,yes,no,,,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_p02_display,project_review,descriptive,project_review_repeat_row,no,no,[prop_p02_label] <> '',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_p02_fit,project_review,radio,project_review_repeat_row,no,yes,[prop_p02_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_p02_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_p02_fit] = '2',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_fit_is_2_does_not_fit,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_p02_vis,project_review,radio,project_review_repeat_row,no,yes,[prop_p02_label] <> '',y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_p02_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_p02_vis] = '1' or [po_p02_vis] = '0' or [po_p02_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_t01_label,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_t01_def,project_review,notes,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_t01_display,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
prop_t01_status,project_review,radio,project_review_repeat_row,yes,no,,y,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,Pre-populated Applied/Not applied status; always participant-visible and survey-read-only.
po_t01_correct,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_t01_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_t01_correct] = '0',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_correctness_is_0_no,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_t01_vis,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_t01_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_t01_vis] = '1' or [po_t01_vis] = '0' or [po_t01_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
prop_t02_label,project_review,text,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
prop_t02_def,project_review,notes,project_review_repeat_row,yes,no,,y,@HIDDEN-SURVEY @READONLY,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_t02_display,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
prop_t02_status,project_review,radio,project_review_repeat_row,yes,no,,y,@READONLY-SURVEY,,not_applicable,,always_if_row_and_field_are_applicable,Pre-populated Applied/Not applied status; always participant-visible and survey-read-only.
po_t02_correct,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_t02_correct_explain,project_review,notes,project_review_repeat_row,no,yes,[po_t02_correct] = '0',y,,actual_project_disagreement_explanation,required_when_displayed_for_explicit_disagreement,Explicit disagreement needs adjudicable context; Unsure does not display this field.,only_if_final_correctness_is_0_no,Required only when the block correctness/verdict is the explicit negative value; records actual-project classification disagreement. Unsure shows no explanation field.
po_t02_vis,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,Required proposed-label public-evidence response: 2 Clearly visible; 1 Partly visible; 0 Not visible; 3 Unsure.
po_t02_vis_explain,project_review,notes,project_review_repeat_row,no,yes,[po_t02_vis] = '1' or [po_t02_vis] = '0' or [po_t02_vis] = '3',,,public_entry_visibility_enrichment,excluded_optional_enrichment,The required four-level visibility rating captures the primary evidence judgement.,only_if_final_visibility_is_1_0_or_3,"Optional enrichment shown when final visibility is Partly visible/Not visible/Unsure; blank means not provided, not absence of an evidence limitation. Retained hidden values are ignored when final visibility is Clearly visible."
po_miss_domain,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_miss_domains,project_review,checkbox,project_review_repeat_row,no,yes,[po_miss_domain] = '1',y,,,not_applicable,,only_if_final_missing_gateway_is_1_yes,REDCap field
po_miss_domain_basis,project_review,notes,project_review_repeat_row,no,yes,[po_miss_domains(1)] = '1' or [po_miss_domains(2)] = '1' or [po_miss_domains(3)] = '1' or [po_miss_domains(4)] = '1' or [po_miss_domains(5)] = '1' or [po_miss_domains(6)] = '1' or [po_miss_domains(7)] = '1' or [po_miss_domains(8)] = '1' or [po_miss_domains(9)] = '1' or [po_miss_domains(10)] = '1' or [po_miss_domains(11)] = '1',,,missing_classification_enrichment,excluded_optional_enrichment,The required gateway and checkbox selection capture the omission.,only_if_final_missing_gateway_is_yes_and_a_label_is_selected,REDCap field
po_miss_purpose,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_miss_purpose_guidance,project_review,descriptive,project_review_repeat_row,no,no,[po_miss_purpose] = '1',,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
po_miss_purposes,project_review,checkbox,project_review_repeat_row,no,yes,[po_miss_purpose] = '1',y,@MAXCHECKED=2,,not_applicable,,only_if_final_missing_gateway_is_1_yes,REDCap field
po_miss_purpose_basis,project_review,notes,project_review_repeat_row,no,yes,[po_miss_purposes(1)] = '1' or [po_miss_purposes(2)] = '1' or [po_miss_purposes(3)] = '1' or [po_miss_purposes(4)] = '1' or [po_miss_purposes(5)] = '1' or [po_miss_purposes(6)] = '1' or [po_miss_purposes(7)] = '1',,,missing_classification_enrichment,excluded_optional_enrichment,The required gateway and checkbox selection capture the omission.,only_if_final_missing_gateway_is_yes_and_a_label_is_selected,REDCap field
po_miss_tag,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_miss_tags,project_review,checkbox,project_review_repeat_row,no,yes,[po_miss_tag] = '1',y,,,not_applicable,,only_if_final_missing_gateway_is_1_yes,REDCap field
po_miss_tag_basis,project_review,notes,project_review_repeat_row,no,yes,[po_miss_tags(1)] = '1' or [po_miss_tags(2)] = '1',,,missing_classification_enrichment,excluded_optional_enrichment,The required gateway and checkbox selection capture the omission.,only_if_final_missing_gateway_is_yes_and_a_label_is_selected,REDCap field
po_sufficiency,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_suff_explain,project_review,notes,project_review_repeat_row,no,yes,[po_sufficiency] = '2' or [po_sufficiency] = '3',,,public_entry_sufficiency_enrichment,excluded_optional_enrichment,The required sufficiency rating captures the primary judgement.,only_if_final_sufficiency_is_2_partial_or_3_insufficient,REDCap field
po_taxonomy_fit,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_tax_issue,project_review,checkbox,project_review_repeat_row,no,yes,[po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3',y,,,not_applicable,,only_if_final_taxonomy_fit_is_2_partial_or_3_no_fit,REDCap field
po_tax_explain,project_review,notes,project_review_repeat_row,no,yes,[po_taxonomy_fit] = '2' or [po_taxonomy_fit] = '3',,,taxonomy_fit_enrichment,excluded_optional_enrichment,Taxonomy fit and required issue type capture the structured taxonomy diagnosis.,only_if_final_taxonomy_fit_is_2_partial_or_3_no_fit,REDCap field
po_nonpublic,project_review,radio,project_review_repeat_row,no,yes,,y,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_nonpublic_note,project_review,notes,project_review_repeat_row,no,yes,[po_nonpublic] = '1' or [po_nonpublic] = '2',,,project_knowledge_enrichment,excluded_optional_enrichment,The required project-knowledge gateway captures reliance on non-public context.,only_if_final_project_knowledge_is_1_yes_or_2_unsure,REDCap field
po_other_comment,project_review,notes,project_review_repeat_row,no,yes,,,,final_comment,excluded_optional_enrichment,Optional final comment.,always_if_row_and_field_are_applicable,REDCap field
po_quote_permission,project_review,radio,project_review_repeat_row,no,yes,,,,,not_applicable,,always_if_row_and_field_are_applicable,REDCap field
po_final_warning,project_review,descriptive,project_review_repeat_row,no,no,,,,,not_applicable,,always_if_row_and_field_are_applicable,Generated display/wording field
