layer,canonical_label,current_short_definition,candidate_reference_definition,reference_definition_word_count,reference_definition_character_count,candidate_microdefinition,microdefinition_word_count,microdefinition_character_count,source_taxonomy_definition,source_dictionary_version,wording_origin,reference_definition_provenance,imported_boundary_source_field,imported_boundary_source_path,imported_boundary_source_text,imported_boundary_note,reused_or_condensed,material_simplification_note,essential_boundary_preserved,compression_note,possible_ambiguity,review_status,reviewer,review_date,reviewer_note
domain,Data Infrastructure & Methodology,"Research primarily focused on the methods, measures, tools, classifications, linkage processes, data quality, survey design, statistical infrastructure, or dataset development needed to produce, improve, validate, or use research data.","Research primarily focused on the methods, measures, tools, classifications, linkage processes, data quality, survey design, statistical infrastructure, or dataset development needed to produce, improve, validate, or use research data. This applies where data infrastructure, linkage, measurement or methodology is itself the primary research object, not merely a tool used to answer another substantive question.",54,413,"Data or methodology as the primary research object, rather than tools used for another question.",15,96,"Research primarily focused on the methods, measures, tools, classifications, linkage processes, data quality, survey design, statistical infrastructure, or dataset development needed to produce, improve, validate, or use research data.",1.0-rc2,frozen_definition_plus_imported_exclusion_boundary_clause,frozen_definition_plus_imported_exclusion_boundary_clause,"[""inclusion_rules"", ""exclusion_rules""]","[""taxonomy_data_dictionary.yaml::categories[layer=\""Layer A -- domain\"",label=\""Data Infrastructure & Methodology\""].inclusion_rules"", ""taxonomy_data_dictionary.yaml::categories[layer=\""Layer A -- domain\"",label=\""Data Infrastructure & Methodology\""].exclusion_rules""]","[""Assign when the data asset, linkage process, measurement approach, classification, survey method, statistical method, or research infrastructure is itself the substantive object of the project."", ""Do not assign solely because a project uses linked data, administrative data, statistical methods, or a secure research environment to study another substantive domain. In those cases, assign the substantive domain and, where appropriate, Methodological / Infrastructure Research in Layer C.""]",Participant-reference wording imports an authoritative inclusion or exclusion boundary; it is not a verbatim source definition.,approved_microdefinition_with_frozen_definition_plus_imported_boundary_clause,Approved inline microdefinition is unchanged; participant-reference definition combines the frozen definition with an imported exclusion/boundary clause.,"Yes — makes data or methodology the primary research object, not merely a tool.",Human review focus: preserve the primary-object versus merely-used-tools boundary.,"Confirm that the wording distinguishes projects about data or methods from projects that merely use complex, linked or administrative data.",approved_by_author,Balint Stewart,2026-07-23,
purpose,Descriptive Monitoring,"Research whose analytical purpose is to measure and characterise a phenomenon — its level, prevalence, distribution, composition, profile, trend, or pattern — including how it varies across places, populations, or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.","Research whose analytical purpose is to measure and characterise a phenomenon — its level, prevalence, distribution, composition, profile, trend, or pattern — including how it varies across places, populations, or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.",42,314,"Measuring and describing levels, distributions, patterns or trends across places, populations or time, without primarily testing an exposure–outcome relationship.",19,162,"Research whose analytical purpose is to measure and characterise a phenomenon — its level, prevalence, distribution, composition, profile, trend, or pattern — including how it varies across places, populations, or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,"Yes — covers levels, distributions, patterns and trends without primarily testing an exposure–outcome relationship.","Human review focus: preserve description across place, population or time and exclude primary exposure–outcome testing.",,approved_by_author,Balint Stewart,2026-07-23,
purpose,Outcome Tracking,"Research that links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome.","Research that links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome. This does not apply where the exposure is a deliberate named policy, programme, reform or intervention; that is Policy Evaluation / Impact Analysis.",40,283,"Linking a naturally occurring exposure, condition or event to a later outcome, where the exposure is not a deliberate policy or programme.",22,138,"Research that links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome.",1.0-rc2,frozen_definition_plus_imported_exclusion_boundary_clause,frozen_definition_plus_imported_exclusion_boundary_clause,"[""inclusion_rules"", ""exclusion_rules""]","[""taxonomy_data_dictionary.yaml::categories[layer=\""Layer C -- purpose\"",label=\""Outcome Tracking\""].inclusion_rules"", ""taxonomy_data_dictionary.yaml::categories[layer=\""Layer C -- purpose\"",label=\""Outcome Tracking\""].exclusion_rules""]","[""Assign where the project links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome, and the exposure is not a deliberate named policy, programme, or intervention."", ""Do not assign where the exposure is a named policy, programme, reform, or intervention; use **Policy Evaluation / Impact Analysis**. Do not assign if the project only measures patterns or trends; use **Descriptive Monitoring**. Do not assign where the aim is prospective prediction, risk scoring, screening, or early identification; use **Risk Prediction / Early Identification**. Do not assign where the main focus is extended life-stage progression or movement through service systems.""]",Participant-reference wording imports an authoritative inclusion or exclusion boundary; it is not a verbatim source definition.,approved_microdefinition_with_frozen_definition_plus_imported_boundary_clause,Approved inline microdefinition is unchanged; participant-reference definition combines the frozen definition with an imported exclusion/boundary clause.,Yes — links a naturally occurring exposure to a later outcome and excludes deliberate policy or programme exposure.,Human review focus: preserve naturally occurring exposure and exclude deliberate policy or programme exposure.,"Review the boundary with Policy Evaluation / Impact Analysis, especially where an exposure is a named policy, programme or intervention.",approved_by_author,Balint Stewart,2026-07-23,
purpose,Life-Course / Trajectory Analysis,"Research that follows individuals, cohorts, households, firms, or cases across extended time periods, transitions, or life stages to understand trajectories, progression, mobility, or cumulative outcomes.","Research that follows individuals, cohorts, households, firms, or cases across extended time periods, transitions, or life stages to understand trajectories, progression, mobility, or cumulative outcomes.",25,204,"Following people, households, firms or cases over time to understand trajectories, transitions or cumulative outcomes.",15,118,"Research that follows individuals, cohorts, households, firms, or cases across extended time periods, transitions, or life stages to understand trajectories, progression, mobility, or cumulative outcomes.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central analytical purpose retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
purpose,Service Interaction / Systems Analysis,"Research focused on how people, cases, families, or organisations move through, use, access, or are processed by public service systems.","Research focused on how people, cases, families, or organisations move through, use, access, or are processed by public service systems.",20,136,"How people, cases or organisations access, use, move through or are processed by public services.",15,97,"Research focused on how people, cases, families, or organisations move through, use, access, or are processed by public service systems.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central analytical purpose retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
purpose,Policy Evaluation / Impact Analysis,"Research that evaluates the effects, impacts, implementation, or consequences of a specific named policy, programme, regulation, intervention, scheme, or institutional change.","Research that evaluates the effects, impacts, implementation, or consequences of a specific named policy, programme, regulation, intervention, scheme, or institutional change.",21,175,"Assessing the implementation, effects or consequences of a specific named policy, programme, regulation or intervention.",15,120,"Research that evaluates the effects, impacts, implementation, or consequences of a specific named policy, programme, regulation, intervention, scheme, or institutional change.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,"Yes — retains assessment of implementation, effects or consequences of a specific named intervention.","Human review focus: retain a specific policy, programme, regulation or intervention.","Review the boundary with Outcome Tracking, retaining evaluation for a specific named policy, programme, regulation, intervention, scheme or institutional change.",approved_by_author,Balint Stewart,2026-07-23,
purpose,Risk Prediction / Early Identification,"Research with an explicit predictive or early-identification design focused on predicting risk, identifying at-risk individuals or groups, building risk scores, developing screening tools, or prospectively targeting people or places before or as an adverse outcome emerges.","Research with an explicit predictive or early-identification design focused on predicting risk, identifying at-risk individuals or groups, building risk scores, developing screening tools, or prospectively targeting people or places before or as an adverse outcome emerges.",36,273,"Predicting risk or identifying at-risk people, groups or places for screening or early targeting.",14,97,"Research with an explicit predictive or early-identification design focused on predicting risk, identifying at-risk individuals or groups, building risk scores, developing screening tools, or prospectively targeting people or places before or as an adverse outcome emerges.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central analytical purpose retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
purpose,Methodological / Infrastructure Research,"Research whose primary purpose is to develop, test, validate, improve, or document methods, data infrastructure, measurement frameworks, linkage approaches, survey methods, or data assets.","Research whose primary purpose is to develop, test, validate, improve, or document methods, data infrastructure, measurement frameworks, linkage approaches, survey methods, or data assets.",24,188,"Developing, testing, validating or improving research methods, measures, linkage approaches, infrastructure or data assets.",14,123,"Research whose primary purpose is to develop, test, validate, improve, or document methods, data infrastructure, measurement frameworks, linkage approaches, survey methods, or data assets.",1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — central analytical purpose retained.,Examples and extended enumerations removed; central meaning retained.,,approved_by_author,Balint Stewart,2026-07-23,
tag,Demographic disparities / equity tag,"A cross-cutting tag for projects whose research question centres on comparing outcomes, experiences, risks, access, or trajectories across demographic or equality-relevant groups.","A cross-cutting tag for projects whose research question centres on comparing outcomes, experiences, risks, access, or trajectories across demographic or equality-relevant groups. Routine subgroup breakdowns do not qualify, and socioeconomic or deprivation-based inequality alone is insufficient unless comparison across demographic or equality-relevant groups is central.",45,372,Comparisons across demographic or equality-relevant groups are central; socioeconomic inequality alone or routine subgroup breakdowns do not qualify.,18,149,"A cross-cutting tag for projects whose research question centres on comparing outcomes, experiences, risks, access, or trajectories across demographic or equality-relevant groups.",1.0-rc2,frozen_definition_plus_imported_exclusion_boundary_clause,frozen_definition_plus_imported_exclusion_boundary_clause,"[""inclusion_rules"", ""exclusion_rules""]","[""taxonomy_data_dictionary.yaml::categories[layer=\""Cross-cutting tag\"",label=\""Demographic disparities / equity tag\""].inclusion_rules"", ""taxonomy_data_dictionary.yaml::categories[layer=\""Cross-cutting tag\"",label=\""Demographic disparities / equity tag\""].exclusion_rules""]","[""Assign where demographic or equality-relevant comparison is central to the research question, especially comparison by age, cohort, sex, gender, race, ethnicity, religion, disability, migrant/refugee status, nationality, or similar group characteristics. Use this tag for the demographic or equality-relevant comparative lens while assigning the substantive domain according to the outcome, system, policy area, or mechanism being studied. Socioeconomic comparison qualifies only where the comparison is made across a demographic or equality-relevant group; socioeconomic position alone is not sufficient. The tag can be combined with any Layer A domain and any Layer C purpose."", ""Do not assign merely because demographic variables are used as controls, covariates, sample descriptors, or routine stratifiers. Do not assign to poverty, income, wealth, deprivation, regional inequality, or socioeconomic-position projects where the comparison is not centrally across a demographic or equality-relevant group. Do not use this tag as a substitute for the substantive domain or analytical purpose.""]",Participant-reference wording imports an authoritative inclusion or exclusion boundary; it is not a verbatim source definition.,approved_microdefinition_with_frozen_definition_plus_imported_boundary_clause,Approved inline microdefinition is unchanged; participant-reference definition combines the frozen definition with an imported exclusion/boundary clause.,Yes — requires central demographic or equality-relevant comparison and excludes socioeconomic inequality alone and routine subgroup breakdowns.,Human review focus: preserve central analytical focus rather than routine subgroup reporting.,Confirm the boundary between projects centred on demographic or equality-group comparisons and projects that merely include demographic covariates or subgroup reporting.,approved_by_author,Balint Stewart,2026-07-23,
tag,COVID-19 & Pandemic,"A cross-cutting tag for projects where COVID-19, the COVID-19 pandemic, pandemic conditions, infection surveillance, vaccination, lockdowns, social distancing, pandemic-related public support, or pandemic consequences are a central condition or lens for the research question.","A cross-cutting tag for projects where COVID-19, the COVID-19 pandemic, pandemic conditions, infection surveillance, vaccination, lockdowns, social distancing, pandemic-related public support, or pandemic consequences are a central condition or lens for the research question. Research does not qualify merely because its data cover the pandemic period or because COVID-19 is mentioned incidentally.",52,399,"COVID-19 or pandemic conditions are a central research focus or lens, not merely the period covered by the data.",19,112,"A cross-cutting tag for projects where COVID-19, the COVID-19 pandemic, pandemic conditions, infection surveillance, vaccination, lockdowns, social distancing, pandemic-related public support, or pandemic consequences are a central condition or lens for the research question.",1.0-rc2,frozen_definition_plus_imported_exclusion_boundary_clause,frozen_definition_plus_imported_exclusion_boundary_clause,"[""exclusion_rules""]","[""taxonomy_data_dictionary.yaml::categories[layer=\""Cross-cutting tag\"",label=\""COVID-19 & Pandemic\""].exclusion_rules""]","[""Do not assign simply because the project occurred during the pandemic period. Do not assign to infectious disease, health, or mortality studies unless COVID-19 or pandemic framing is explicit. Do not use this tag as a substitute for the substantive domain or analytical purpose.""]",Participant-reference wording imports an authoritative inclusion or exclusion boundary; it is not a verbatim source definition.,approved_microdefinition_with_frozen_definition_plus_imported_boundary_clause,Approved inline microdefinition is unchanged; participant-reference definition combines the frozen definition with an imported exclusion/boundary clause.,"Yes — requires pandemic relevance to be a central focus or lens, not merely the period covered by the data.",Human review focus: preserve central condition or lens rather than incidental mention.,,approved_by_author,Balint Stewart,2026-07-23,
domain,Unclear from Register Entry,Use only where the project title and dataset field together do not provide enough evidence to assign any substantive domain.,Use only where the project title and dataset field together do not provide enough evidence to assign any substantive domain.,20,124,The public title and datasets do not provide enough evidence to assign a substantive Research Domain.,16,101,Use only where the project title and dataset field together do not provide enough evidence to assign any substantive domain.,1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — states that no substantive Research Domain can be assigned from the public entry.,Human review focus: preserve Domain-specific insufficiency and avoid conflating it with Purpose.,,approved_by_author,Balint Stewart,2026-07-23,
purpose,Unclear from Register Entry,Use where the project title and datasets do not provide enough information to infer the analytical purpose.,Use where the project title and datasets do not provide enough information to infer the analytical purpose.,17,107,The public title and datasets do not provide enough information to infer the Analytical Purpose.,15,96,Use where the project title and datasets do not provide enough information to infer the analytical purpose.,1.0-rc2,frozen_definition_verbatim_after_whitespace_normalisation,frozen_definition_verbatim_after_whitespace_normalisation,[],[],[],,approved_microdefinition_with_verbatim_source_reference,Approved inline microdefinition is a display condensation; frozen source and participant-reference definition remain unchanged.,Yes — states that the Analytical Purpose cannot be inferred from the public entry.,Human review focus: preserve Purpose-specific insufficiency and avoid conflating it with Domain.,,approved_by_author,Balint Stewart,2026-07-23,
