claim_id,log_file_name,section_number,parsed_values,source_table,source_cell,source_values_full_precision,comparison_rule_used,status,quantity_label,notes
R056,scratch_coder_figure_revisions_log_pass2.md,S1.5,"[""-0.11455822957777184"", ""-0.33012555322232656"", ""0.0""]",S2T007,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, point_estimate; analysis/scratch_coder_results/results.md::S2T007.r8 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, ci_lower; analysis/scratch_coder_results/results.md::S2T007.r8 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, ci_upper; analysis/scratch_coder_results/results.md::S2T007.r8 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, interval_upper_string","[[""-0.11455822957777184"", ""-0.11455822957777184"", ""-0.11455822957777184"", ""-0.11455822957777184""], [""-0.33012555322232656"", ""-0.33012555322232656"", ""-0.33012555322232656"", ""-0.33012555322232656""], [""0.0"", ""0.0"", ""0.0"", ""0.0""]]",exact,PASS,hard-case equity delta_min,
R057,scratch_coder_figure_revisions_log_pass2.md,S1.6,"[""0.8099547511312217"", ""0.8099547511312217""]",S2T008,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 62, point_estimate; analysis/scratch_coder_results/results.md::S2T008.r1 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 50, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 50, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 65, point_estimate; analysis/scratch_coder_results/results.md::S2T008.r4 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 53, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 53, source_value_string","[[""0.8099547511312217"", ""0.8099547511312217"", ""0.8099547511312217"", ""0.8099547511312217""], [""0.8099547511312217"", ""0.8099547511312217"", ""0.8099547511312217"", ""0.8099547511312217""]]",exact,PASS,hard-case COVID alpha ABC and ABL,
R058,scratch_coder_figure_revisions_log_pass2.md,S1.6,"[""0"", ""0"", ""0""]",S2T008,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 64, point_estimate; analysis/scratch_coder_results/results.md::S2T008.r7 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 56, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 56, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 64, ci_lower; analysis/scratch_coder_results/results.md::S2T008.r7 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 56, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 56, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 64, ci_upper; analysis/scratch_coder_results/results.md::S2T008.r7 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 56, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 56, interval_upper_string","[[""0.0"", ""0.0"", ""0.0"", ""0.0""], [""0.0"", ""0.0"", ""0.0"", ""0.0""], [""0.0"", ""0.0"", ""0.0"", ""0.0""]]",exact,PASS,hard-case COVID delta_C,
R059,scratch_coder_figure_revisions_log_pass2.md,S1.6,"[""0"", ""0"", ""0""]",S2T008,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 65, point_estimate; analysis/scratch_coder_results/results.md::S2T008.r8 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 57, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 57, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 65, ci_lower; analysis/scratch_coder_results/results.md::S2T008.r8 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 57, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 57, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 65, ci_upper; analysis/scratch_coder_results/results.md::S2T008.r8 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 57, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 57, interval_upper_string","[[""0.0"", ""0.0"", ""0.0"", ""0.0""], [""0.0"", ""0.0"", ""0.0"", ""0.0""], [""0.0"", ""0.0"", ""0.0"", ""0.0""]]",exact,PASS,hard-case COVID delta_min,
R060,scratch_coder_figure_revisions_log_pass2.md,S1.6,"[""6"", ""6""]",S2T018,"analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 5, model_positive_n; analysis/scratch_coder_results/results.md::S2T018.r9 estimate; analysis/outputs_validation_scratch_stage_b_20260825/tag_diagnostics.csv::CSV row 5, human_majority_positive_n; analysis/scratch_coder_results/results.md::S2T018.r7 estimate","[[""6"", ""6""], [""6"", ""6""]]",exact,PASS,hard-case COVID model and majority counts,
R061,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""0.526""]",S3T001,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 2, point_estimate; analysis/scratch_coder_results/results.md::S3T001.r1 estimate; analysis/figure_data/scratch_coder_figure_1.csv::CSV row 2, source_value_string; analysis/figure_data/scratch_coder_figure_1_panel_agreement.csv::CSV row 2, source_value_string; analysis/figure_data/scratch_coder_figure_2.csv::CSV row 2, source_value_string; analysis/figure_data/scratch_coder_figure_2_sufficiency_sensitivity.csv::CSV row 2, source_value_string; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 2, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 2, source_value_string","[[""0.5263372741925532"", ""0.5263372741925532"", ""0.5263372741925532"", ""0.5263372741925532"", ""0.5263372741925532"", ""0.5263372741925532"", ""0.5263372741925532"", ""0.5263372741925532""]]",rounded,PASS,domains baseline alpha ABC,
R062,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""0.462""]",S3T007,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 50, point_estimate; analysis/scratch_coder_results/results.md::S3T007.r1 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 34, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 34, source_value_string","[[""0.46228781652079254"", ""0.46228781652079254"", ""0.46228781652079254"", ""0.46228781652079254""]]",rounded,PASS,domains hard-case alpha ABC,
R063,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""0.292""]",S3T002,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 6, point_estimate; analysis/scratch_coder_results/results.md::S3T002.r1 estimate; analysis/figure_data/scratch_coder_figure_1.csv::CSV row 10, source_value_string; analysis/figure_data/scratch_coder_figure_1_panel_agreement.csv::CSV row 10, source_value_string; analysis/figure_data/scratch_coder_figure_2.csv::CSV row 10, source_value_string; analysis/figure_data/scratch_coder_figure_2_sufficiency_sensitivity.csv::CSV row 10, source_value_string; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 10, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 10, source_value_string","[[""0.2921101465494055"", ""0.2921101465494055"", ""0.2921101465494055"", ""0.2921101465494055"", ""0.2921101465494055"", ""0.2921101465494055"", ""0.2921101465494055"", ""0.2921101465494055""]]",rounded,PASS,purposes baseline alpha ABC,
R064,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""0.292""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 54, point_estimate; analysis/scratch_coder_results/results.md::S3T008.r1 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 42, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 42, source_value_string","[[""0.29174237392340174"", ""0.29174237392340174"", ""0.29174237392340174"", ""0.29174237392340174""]]",rounded,PASS,purposes hard-case alpha ABC,
R065,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""0.512""]",S2T001,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 10, point_estimate; analysis/scratch_coder_results/results.md::S2T001.r1 estimate; analysis/figure_data/scratch_coder_figure_1.csv::CSV row 26, source_value_string; analysis/figure_data/scratch_coder_figure_1_panel_agreement.csv::CSV row 26, source_value_string; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 26, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 26, source_value_string","[[""0.5124552887072049"", ""0.5124552887072049"", ""0.5124552887072049"", ""0.5124552887072049"", ""0.5124552887072049"", ""0.5124552887072049""]]",rounded,PASS,equity baseline alpha ABC,
R066,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""0.654""]",S2T007,"analysis/outputs_validation_scratch_20260824/replacement_panel_results.csv::CSV row 58, point_estimate; analysis/scratch_coder_results/results.md::S2T007.r1 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 58, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 58, source_value_string","[[""0.653652879783533"", ""0.653652879783533"", ""0.653652879783533"", ""0.653652879783533""]]",rounded,PASS,equity hard-case alpha ABC,
R067,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""-0.027"", ""-0.096"", ""0.010""]",S3T007,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 53, point_estimate; analysis/scratch_coder_results/results.md::S3T007.r8 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 41, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 41, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 53, ci_lower; analysis/scratch_coder_results/results.md::S3T007.r8 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 41, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 41, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 53, ci_upper; analysis/scratch_coder_results/results.md::S3T007.r8 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 41, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 41, interval_upper_string","[[""-0.027389643461722457"", ""-0.027389643461722457"", ""-0.027389643461722457"", ""-0.027389643461722457""], [""-0.09563393858782052"", ""-0.09563393858782052"", ""-0.09563393858782052"", ""-0.09563393858782052""], [""0.010487383888573898"", ""0.010487383888573898"", ""0.010487383888573898"", ""0.010487383888573898""]]",rounded,PASS,hard-case domains delta_min,
R068,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""-0.114"", ""-0.191"", ""-0.059""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 57, point_estimate; analysis/scratch_coder_results/results.md::S3T008.r8 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 49, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 49, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 57, ci_lower; analysis/scratch_coder_results/results.md::S3T008.r8 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 49, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 49, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 57, ci_upper; analysis/scratch_coder_results/results.md::S3T008.r8 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 49, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 49, interval_upper_string","[[""-0.11382280128651179"", ""-0.11382280128651179"", ""-0.11382280128651179"", ""-0.11382280128651179""], [""-0.19061601182254387"", ""-0.19061601182254387"", ""-0.19061601182254387"", ""-0.19061601182254387""], [""-0.05948533232203007"", ""-0.05948533232203007"", ""-0.05948533232203007"", ""-0.05948533232203007""]]",rounded,PASS,hard-case purposes delta_min,
R069,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""-0.115"", ""-0.330"", ""0.000""]",S2T007,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, point_estimate; analysis/scratch_coder_results/results.md::S2T007.r8 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, ci_lower; analysis/scratch_coder_results/results.md::S2T007.r8 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 61, ci_upper; analysis/scratch_coder_results/results.md::S2T007.r8 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 65, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 65, interval_upper_string","[[""-0.11455822957777184"", ""-0.11455822957777184"", ""-0.11455822957777184"", ""-0.11455822957777184""], [""-0.33012555322232656"", ""-0.33012555322232656"", ""-0.33012555322232656"", ""-0.33012555322232656""], [""0.0"", ""0.0"", ""0.0"", ""0.0""]]",rounded,PASS,hard-case equity delta_min,
R070,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""-0.109"", ""-0.183"", ""-0.034""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 54, point_estimate; analysis/scratch_coder_results/results.md::S3T008.r5 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 46, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 46, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 54, ci_lower; analysis/scratch_coder_results/results.md::S3T008.r5 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 46, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 46, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 54, ci_upper; analysis/scratch_coder_results/results.md::S3T008.r5 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 46, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 46, interval_upper_string","[[""-0.10914312131233139"", ""-0.10914312131233139"", ""-0.10914312131233139"", ""-0.10914312131233139""], [""-0.1825290234577135"", ""-0.1825290234577135"", ""-0.1825290234577135"", ""-0.1825290234577135""], [""-0.0341923574470923"", ""-0.0341923574470923"", ""-0.0341923574470923"", ""-0.0341923574470923""]]",rounded,PASS,hard-case purposes delta_A,
R071,scratch_coder_figure_revisions_log_pass2.md,S1.8,"[""-0.114"", ""-0.182"", ""-0.046""]",S3T008,"analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 55, point_estimate; analysis/scratch_coder_results/results.md::S3T008.r6 estimate; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 47, source_value_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 47, source_value_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 55, ci_lower; analysis/scratch_coder_results/results.md::S3T008.r6 interval_lower; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 47, interval_lower_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 47, interval_lower_string; analysis/outputs_validation_scratch_20260824/replacement_delta_results.csv::CSV row 55, ci_upper; analysis/scratch_coder_results/results.md::S3T008.r6 interval_upper; analysis/figure_data/scratch_coder_figure_4_baseline_hard_case.csv::CSV row 47, interval_upper_string; analysis/figure_data/scratch_coder_figure_6.csv::CSV row 47, interval_upper_string","[[""-0.11382280128651179"", ""-0.11382280128651179"", ""-0.11382280128651179"", ""-0.11382280128651179""], [""-0.18151261576022823"", ""-0.18151261576022823"", ""-0.18151261576022823"", ""-0.18151261576022823""], [""-0.046104920386667046"", ""-0.046104920386667046"", ""-0.046104920386667046"", ""-0.046104920386667046""]]",rounded,PASS,hard-case purposes delta_B,
R072,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""150""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 18, denominator","[[""150""]]",exact,PASS,baseline purposes denominator,
R073,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""24"", ""16""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 18, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 18, count / denominator","[[""24""], [""24"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline purposes S1c cell 1,
R074,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""26"", ""17""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 26, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 26, count / denominator","[[""26""], [""26"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline purposes S1c cell 2,
R075,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""97"", ""65""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 19, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 26, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 19, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 26, count / denominator","[[""123"", ""26""], [""97"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline purposes S1c cell 3,
R076,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""3"", ""2""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 20, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 20, count / denominator","[[""3""], [""3"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline purposes S1c cell 4,
R077,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""0"", ""0""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 21, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 21, count / denominator","[[""0""], [""0"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline purposes S1c cell 5,
R078,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""150""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 5, denominator","[[""150""]]",exact,PASS,baseline domains denominator,
R079,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""5"", ""3""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 5, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 5, count / denominator","[[""5""], [""5"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline domains S1c cell 1,
R080,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""13"", ""9""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 13, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 13, count / denominator","[[""13""], [""13"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline domains S1c cell 2,
R081,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""107"", ""71""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 6, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 13, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 6, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 13, count / denominator","[[""120"", ""13""], [""107"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline domains S1c cell 3,
R082,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""22"", ""15""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 7, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 7, count / denominator","[[""22""], [""22"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline domains S1c cell 4,
R083,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""3"", ""2""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 8, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 8, count / denominator","[[""3""], [""3"", ""150""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,baseline domains S1c cell 5,
R084,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""75""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 45, denominator","[[""75""]]",exact,PASS,hard-case purposes denominator,
R085,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""9"", ""12""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 45, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 45, count / denominator","[[""9""], [""9"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case purposes S1c cell 1,
R086,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""20"", ""27""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 53, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 53, count / denominator","[[""20""], [""20"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case purposes S1c cell 2,
R087,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""42"", ""56""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 46, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 53, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 46, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 53, count / denominator","[[""62"", ""20""], [""42"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case purposes S1c cell 3,
R088,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""4"", ""5""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 47, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 47, count / denominator","[[""4""], [""4"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case purposes S1c cell 4,
R089,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""0"", ""0""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 48, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 48, count / denominator","[[""0""], [""0"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case purposes S1c cell 5,
R090,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""75""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 32, denominator","[[""75""]]",exact,PASS,hard-case domains denominator,
R091,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""6"", ""8""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 32, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 32, count / denominator","[[""6""], [""6"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case domains S1c cell 1,
R092,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""3"", ""4""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 40, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 40, count / denominator","[[""3""], [""3"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case domains S1c cell 2,
R093,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""45"", ""60""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 33, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 40, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 33, count minus analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 40, count / denominator","[[""48"", ""3""], [""45"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case domains S1c cell 3,
R094,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""18"", ""24""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 34, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 34, count / denominator","[[""18""], [""18"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case domains S1c cell 4,
R095,scratch_coder_figure_revisions_log_pass2.md,T.3,"[""3"", ""4""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 35, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 35, count / denominator","[[""3""], [""3"", ""75""]]",exact count; proportion-to-percentage scaling; half-up whole percent,PASS,hard-case domains S1c cell 5,
R096,scratch_coder_figure_revisions_log_pass2.md,T.4,"[""0"", ""150""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 28, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 28, count denominator","[[""0""], [""150""]]",exact,PASS,baseline purpose exceedance,
R097,scratch_coder_figure_revisions_log_pass2.md,T.4,"[""0"", ""75""]",majority_coverage.csv,"analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 55, count; analysis/outputs_majority_coverage_20260914T170315Z/majority_coverage.csv::CSV row 55, count denominator","[[""0""], [""75""]]",exact,PASS,hard-case purpose exceedance,
R098,scratch_coder_figure_revisions_log_pass2.md,T.5,"[""92""]",S8T005,"analysis/outputs_validation_scratch_20260824/sufficiency_subset_summary.csv::CSV row 3, count; analysis/scratch_coder_results/results.md::S8T005.r3 estimate","[[""92"", ""92""]]",exact,PASS,strict register sufficient count,
