claim_id,origin,log_item,claim,mapped_check,status,reason
V9.Q054,v2 supplied checklist (governing log unavailable),F.13,S5T003 tp {'label': 'Labour Market & Employment'} part=None: 35,V9.Q054,PASS,S5T003 tp {'label': 'Labour Market & Employment'}
V9.Q055,v2 supplied checklist (governing log unavailable),F.13,S5T003 fp {'label': 'Labour Market & Employment'} part=None: 21,V9.Q055,PASS,S5T003 fp {'label': 'Labour Market & Employment'}
V9.Q056,v2 supplied checklist (governing log unavailable),F.13,S5T003 fn {'label': 'Labour Market & Employment'} part=None: 4,V9.Q056,PASS,S5T003 fn {'label': 'Labour Market & Employment'}
V9.Q057,v2 supplied checklist (governing log unavailable),F.13,S5T003 fp {'label': 'Environment & Agriculture'} part=None: 6,V9.Q057,PASS,S5T003 fp {'label': 'Environment & Agriculture'}
V9.Q058,v2 supplied checklist (governing log unavailable),F.13,S5T003 tp {'label': 'Environment & Agriculture'} part=None: 4,V9.Q058,PASS,S5T003 tp {'label': 'Environment & Agriculture'}
V9.Q059,v2 supplied checklist (governing log unavailable),F.13,S5T003 fp {'label': 'Data Infrastructure & Methodology'} part=None: 4,V9.Q059,PASS,S5T003 fp {'label': 'Data Infrastructure & Methodology'}
V9.Q060,v2 supplied checklist (governing log unavailable),F.13,S5T003 tp {'label': 'Data Infrastructure & Methodology'} part=None: 0,V9.Q060,PASS,S5T003 tp {'label': 'Data Infrastructure & Methodology'}
V9.Q061,v2 supplied checklist (governing log unavailable),F.13,S5T003 fp {'label': 'Housing & Planning'} part=None: 1,V9.Q061,PASS,S5T003 fp {'label': 'Housing & Planning'}
V9.Q062,v2 supplied checklist (governing log unavailable),F.13,S5T003 tp {'label': 'Housing & Planning'} part=None: 0,V9.Q062,PASS,S5T003 tp {'label': 'Housing & Planning'}
V9.Q063,v2 supplied checklist (governing log unavailable),F.13,"S5T003 fp {'label': 'Poverty, Wealth & Living Standards'} part=None: 4",V9.Q063,PASS,"S5T003 fp {'label': 'Poverty, Wealth & Living Standards'}"
V9.Q064,v2 supplied checklist (governing log unavailable),F.13,"S5T003 fn {'label': 'Poverty, Wealth & Living Standards'} part=None: 5",V9.Q064,PASS,"S5T003 fn {'label': 'Poverty, Wealth & Living Standards'}"
V9.Q065,v2 supplied checklist (governing log unavailable),F.14,S5T003 fp {'label': 'Migration & Demographics'} part=None: 2,V9.Q065,PASS,S5T003 fp {'label': 'Migration & Demographics'}
V9.Q066,v2 supplied checklist (governing log unavailable),F.14,S5T003 fn {'label': 'Migration & Demographics'} part=None: 5,V9.Q066,PASS,S5T003 fn {'label': 'Migration & Demographics'}
V9.Q067,v2 supplied checklist (governing log unavailable),F.13,"S5T007 precision {'label': 'Labour Market & Employment'} part=None: ['.625', '.492', '.750']",V9.Q067,PASS,S5T007 precision {'label': 'Labour Market & Employment'}
V9.Q068,v2 supplied checklist (governing log unavailable),F.13,"S5T007 recall {'label': 'Poverty, Wealth & Living Standards'} part=None: ['.545', '.231', '.857']",V9.Q068,PASS,"S5T007 recall {'label': 'Poverty, Wealth & Living Standards'}"
V9.Q069,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Outcome Tracking'} part=None: 34,V9.Q069,PASS,S5T004 fp {'label': 'Outcome Tracking'}
V9.Q070,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Outcome Tracking'} part=None: 6,V9.Q070,PASS,S5T004 fn {'label': 'Outcome Tracking'}
V9.Q071,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Descriptive Monitoring'} part=None: 26,V9.Q071,PASS,S5T004 fp {'label': 'Descriptive Monitoring'}
V9.Q072,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Descriptive Monitoring'} part=None: 10,V9.Q072,PASS,S5T004 fn {'label': 'Descriptive Monitoring'}
V9.Q073,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Policy Evaluation / Impact Analysis'} part=None: 12,V9.Q073,PASS,S5T004 fp {'label': 'Policy Evaluation / Impact Analysis'}
V9.Q074,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Policy Evaluation / Impact Analysis'} part=None: 9,V9.Q074,PASS,S5T004 fn {'label': 'Policy Evaluation / Impact Analysis'}
V9.Q075,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Life-Course / Trajectory Analysis'} part=None: 8,V9.Q075,PASS,S5T004 fp {'label': 'Life-Course / Trajectory Analysis'}
V9.Q076,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Life-Course / Trajectory Analysis'} part=None: 6,V9.Q076,PASS,S5T004 fn {'label': 'Life-Course / Trajectory Analysis'}
V9.Q077,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Methodological / Infrastructure Research'} part=None: 5,V9.Q077,PASS,S5T004 fp {'label': 'Methodological / Infrastructure Research'}
V9.Q078,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Methodological / Infrastructure Research'} part=None: 2,V9.Q078,PASS,S5T004 fn {'label': 'Methodological / Infrastructure Research'}
V9.Q079,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Service Interaction / Systems Analysis'} part=None: 3,V9.Q079,PASS,S5T004 fp {'label': 'Service Interaction / Systems Analysis'}
V9.Q080,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Service Interaction / Systems Analysis'} part=None: 0,V9.Q080,PASS,S5T004 fn {'label': 'Service Interaction / Systems Analysis'}
V9.Q081,v2 supplied checklist (governing log unavailable),F.14,S5T004 fp {'label': 'Risk Prediction / Early Identification'} part=None: 1,V9.Q081,PASS,S5T004 fp {'label': 'Risk Prediction / Early Identification'}
V9.Q082,v2 supplied checklist (governing log unavailable),F.14,S5T004 fn {'label': 'Risk Prediction / Early Identification'} part=None: 0,V9.Q082,PASS,S5T004 fn {'label': 'Risk Prediction / Early Identification'}
V9.Q083,v2 supplied checklist (governing log unavailable),F.15,S5T004 model_positive_n {'label': 'Outcome Tracking'} part=None: 47,V9.Q083,PASS,S5T004 model_positive_n {'label': 'Outcome Tracking'}
V9.Q084,v2 supplied checklist (governing log unavailable),F.15,"S5T008 precision {'label': 'Outcome Tracking'} part=None: ['.277', '.152', '.417']",V9.Q084,PASS,S5T008 precision {'label': 'Outcome Tracking'}
V9.Q085,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C01', 'category': 'Sufficient'} part=None: 107",V9.Q085,PASS,"S8T001 count {'coder': 'C01', 'category': 'Sufficient'}"
V9.Q086,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C01', 'category': 'Partially sufficient'} part=None: 39",V9.Q086,PASS,"S8T001 count {'coder': 'C01', 'category': 'Partially sufficient'}"
V9.Q087,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C01', 'category': 'Insufficient'} part=None: 4",V9.Q087,PASS,"S8T001 count {'coder': 'C01', 'category': 'Insufficient'}"
V9.Q088,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C02', 'category': 'Sufficient'} part=None: 96",V9.Q088,PASS,"S8T001 count {'coder': 'C02', 'category': 'Sufficient'}"
V9.Q089,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C02', 'category': 'Partially sufficient'} part=None: 48",V9.Q089,PASS,"S8T001 count {'coder': 'C02', 'category': 'Partially sufficient'}"
V9.Q090,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C02', 'category': 'Insufficient'} part=None: 6",V9.Q090,PASS,"S8T001 count {'coder': 'C02', 'category': 'Insufficient'}"
V9.Q091,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C03', 'category': 'Sufficient'} part=None: 59",V9.Q091,PASS,"S8T001 count {'coder': 'C03', 'category': 'Sufficient'}"
V9.Q092,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C03', 'category': 'Partially sufficient'} part=None: 89",V9.Q092,PASS,"S8T001 count {'coder': 'C03', 'category': 'Partially sufficient'}"
V9.Q093,v2 supplied checklist (governing log unavailable),T.6; F.4,"S8T001 count {'coder': 'C03', 'category': 'Insufficient'} part=None: 2",V9.Q093,PASS,"S8T001 count {'coder': 'C03', 'category': 'Insufficient'}"
V9.Q094,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C01', 'category': 'Fit'} part=None: 103",V9.Q094,PASS,"S9T001 count {'coder': 'C01', 'category': 'Fit'}"
V9.Q095,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C01', 'category': 'Partial Fit'} part=None: 20",V9.Q095,PASS,"S9T001 count {'coder': 'C01', 'category': 'Partial Fit'}"
V9.Q096,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C01', 'category': 'No Fit'} part=None: 3",V9.Q096,PASS,"S9T001 count {'coder': 'C01', 'category': 'No Fit'}"
V9.Q097,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C01', 'category': 'Cannot assess from register entry'} part=None: 24",V9.Q097,PASS,"S9T001 count {'coder': 'C01', 'category': 'Cannot assess from register entry'}"
V9.Q098,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C02', 'category': 'Fit'} part=None: 133",V9.Q098,PASS,"S9T001 count {'coder': 'C02', 'category': 'Fit'}"
V9.Q099,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C02', 'category': 'Partial Fit'} part=None: 7",V9.Q099,PASS,"S9T001 count {'coder': 'C02', 'category': 'Partial Fit'}"
V9.Q100,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C02', 'category': 'No Fit'} part=None: 1",V9.Q100,PASS,"S9T001 count {'coder': 'C02', 'category': 'No Fit'}"
V9.Q101,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C02', 'category': 'Cannot assess from register entry'} part=None: 9",V9.Q101,PASS,"S9T001 count {'coder': 'C02', 'category': 'Cannot assess from register entry'}"
V9.Q102,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C03', 'category': 'Fit'} part=None: 92",V9.Q102,PASS,"S9T001 count {'coder': 'C03', 'category': 'Fit'}"
V9.Q103,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C03', 'category': 'Partial Fit'} part=None: 57",V9.Q103,PASS,"S9T001 count {'coder': 'C03', 'category': 'Partial Fit'}"
V9.Q104,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C03', 'category': 'No Fit'} part=None: 0",V9.Q104,PASS,"S9T001 count {'coder': 'C03', 'category': 'No Fit'}"
V9.Q105,v2 supplied checklist (governing log unavailable),T.6; F.4,"S9T001 count {'coder': 'C03', 'category': 'Cannot assess from register entry'} part=None: 1",V9.Q105,PASS,"S9T001 count {'coder': 'C03', 'category': 'Cannot assess from register entry'}"
V9.Q106,v2 supplied checklist (governing log unavailable),O.4,S8T003 count {'category': 'Sufficient'} part=None: 92,V9.Q106,PASS,S8T003 count {'category': 'Sufficient'}
V9.Q107,v2 supplied checklist (governing log unavailable),O.4,"S8T003 proportion {'category': 'Sufficient'} part=None: ['.613', '.533', '.688']",V9.Q107,PASS,S8T003 proportion {'category': 'Sufficient'}
V9.Q108,v2 supplied checklist (governing log unavailable),T.5,S8T005 count {'subset': 'broad_register_usable'} part=None: 148,V9.Q108,PASS,S8T005 count {'subset': 'broad_register_usable'}
V9.Q109,v2 supplied checklist (governing log unavailable),T.5,S8T005 count {'subset': 'strict_register_sufficient'} part=None: 92,V9.Q109,PASS,S8T005 count {'subset': 'strict_register_sufficient'}
V9.Q110,v2 supplied checklist (governing log unavailable),T.2,S8T003 count {'category': 'Sufficient'} part=None: 92,V9.Q110,PASS,S8T003 count {'category': 'Sufficient'}
V9.Q111,v2 supplied checklist (governing log unavailable),T.2,S8T003 count {'category': 'Partially sufficient'} part=None: 55,V9.Q111,PASS,S8T003 count {'category': 'Partially sufficient'}
V9.Q112,v2 supplied checklist (governing log unavailable),T.2,S8T003 count {'category': 'Insufficient'} part=None: 2,V9.Q112,PASS,S8T003 count {'category': 'Insufficient'}
V9.Q113,v2 supplied checklist (governing log unavailable),T.2,S8T003 count {'category': 'No majority / split judgement'} part=None: 1,V9.Q113,PASS,S8T003 count {'category': 'No majority / split judgement'}
V9.Q114,v2 supplied checklist (governing log unavailable),T.2,S8T004 count {'category': 'Sufficient'} part=None: 42,V9.Q114,PASS,S8T004 count {'category': 'Sufficient'}
V9.Q115,v2 supplied checklist (governing log unavailable),T.2,S8T004 count {'category': 'Partially sufficient'} part=None: 30,V9.Q115,PASS,S8T004 count {'category': 'Partially sufficient'}
V9.Q116,v2 supplied checklist (governing log unavailable),T.2,S8T004 count {'category': 'Insufficient'} part=None: 0,V9.Q116,PASS,S8T004 count {'category': 'Insufficient'}
V9.Q117,v2 supplied checklist (governing log unavailable),T.2,S8T004 count {'category': 'No majority / split judgement'} part=None: 3,V9.Q117,PASS,S8T004 count {'category': 'No majority / split judgement'}
V9.Q118,v2 supplied checklist (governing log unavailable),T.2,S9T003 count {'category': 'Fit'} part=None: 119,V9.Q118,PASS,S9T003 count {'category': 'Fit'}
V9.Q119,v2 supplied checklist (governing log unavailable),T.2,S9T003 count {'category': 'Partial Fit'} part=None: 12,V9.Q119,PASS,S9T003 count {'category': 'Partial Fit'}
V9.Q120,v2 supplied checklist (governing log unavailable),T.2,S9T003 count {'category': 'No Fit'} part=None: 0,V9.Q120,PASS,S9T003 count {'category': 'No Fit'}
V9.Q121,v2 supplied checklist (governing log unavailable),T.2,S9T003 count {'category': 'Cannot assess from register entry'} part=None: 6,V9.Q121,PASS,S9T003 count {'category': 'Cannot assess from register entry'}
V9.Q122,v2 supplied checklist (governing log unavailable),T.2,S9T003 count {'category': 'No majority / split judgement'} part=None: 13,V9.Q122,PASS,S9T003 count {'category': 'No majority / split judgement'}
V9.Q123,v2 supplied checklist (governing log unavailable),T.2,S9T004 count {'category': 'Fit'} part=None: 54,V9.Q123,PASS,S9T004 count {'category': 'Fit'}
V9.Q124,v2 supplied checklist (governing log unavailable),T.2,S9T004 count {'category': 'Partial Fit'} part=None: 11,V9.Q124,PASS,S9T004 count {'category': 'Partial Fit'}
V9.Q125,v2 supplied checklist (governing log unavailable),T.2,S9T004 count {'category': 'No Fit'} part=None: 0,V9.Q125,PASS,S9T004 count {'category': 'No Fit'}
V9.Q126,v2 supplied checklist (governing log unavailable),T.2,S9T004 count {'category': 'Cannot assess from register entry'} part=None: 1,V9.Q126,PASS,S9T004 count {'category': 'Cannot assess from register entry'}
V9.Q127,v2 supplied checklist (governing log unavailable),T.2,S9T004 count {'category': 'No majority / split judgement'} part=None: 9,V9.Q127,PASS,S9T004 count {'category': 'No majority / split judgement'}
I.V1.context.S2T002.ABC,v2 sections V1-V8,1.6; S1.6; G.6,"V1.context.S2T002.ABC: ['0.9397477187332259', '0.8355110514104286', '1.0']",V1.context.S2T002.ABC,PASS,
I.V1.context.S2T002.LBC,v2 sections V1-V8,1.6; S1.6; G.6,"V1.context.S2T002.LBC: ['0.9397477187332259', '0.8355110514104286', '1.0']",V1.context.S2T002.LBC,PASS,
I.V1.context.S2T002.delta_A,v2 sections V1-V8,1.6; S1.6; G.6,"V1.context.S2T002.delta_A: ['0', '0', '0']",V1.context.S2T002.delta_A,PASS,
I.V1.context.S2T002.delta_min,v2 sections V1-V8,1.6; S1.6; G.6,"V1.context.S2T002.delta_min: ['0', '0', '0']",V1.context.S2T002.delta_min,PASS,
I.V1.context.S2T008.ABC,v2 sections V1-V8,1.6; S1.6; G.6,V1.context.S2T008.ABC: ['0.8099547511312217'],V1.context.S2T008.ABC,PASS,
I.V1.context.S2T008.ABL,v2 sections V1-V8,1.6; S1.6; G.6,V1.context.S2T008.ABL: ['0.8099547511312217'],V1.context.S2T008.ABL,PASS,
I.V1.context.S2T008.delta_C,v2 sections V1-V8,1.6; S1.6; G.6,"V1.context.S2T008.delta_C: ['0', '0', '0']",V1.context.S2T008.delta_C,PASS,
I.V1.context.S2T008.delta_min,v2 sections V1-V8,1.6; S1.6; G.6,"V1.context.S2T008.delta_min: ['0', '0', '0']",V1.context.S2T008.delta_min,PASS,
I.V1.context.S2T018.tp,v2 sections V1-V8,S1.6,V1.context.S2T018.tp: 6,V1.context.S2T018.tp,PASS,
I.V1.context.S2T018.fp,v2 sections V1-V8,S1.6,V1.context.S2T018.fp: 0,V1.context.S2T018.fp,PASS,
I.V1.context.S2T018.fn,v2 sections V1-V8,S1.6,V1.context.S2T018.fn: 0,V1.context.S2T018.fn,PASS,
I.V1.context.S2T018.human_majority_positive_n,v2 sections V1-V8,S1.6,V1.context.S2T018.human_majority_positive_n: 6,V1.context.S2T018.human_majority_positive_n,PASS,
I.V1.context.S2T018.model_positive_n,v2 sections V1-V8,S1.6,V1.context.S2T018.model_positive_n: 6,V1.context.S2T018.model_positive_n,PASS,
I.V4.2.domains.human_human,v2 sections V1-V8,E.4; T5.2,"V4.2.domains.human_human: {'counts': [105, 11, 104], 'denominator': 220}",V4.2.domains.human_human,PASS,
I.V4.3.domains.human_human,v2 sections V1-V8,E.4; T5.2,"V4.3.domains.human_human: [48, 5, 47]",V4.3.domains.human_human,PASS,
