code,rule_id,scope,category,kind,rule_type,name,excerpt,introduced_in
27,R027,category,Housing & Planning,Research Domain,exclusion rule,Housing & Planning: exclusion rule,"Do not assign merely because a project mentions home, place, local area, geography, neighbourhood, or stay-at-home behaviour unless housing, residential conditions, dwelling environments, or planning are substantive objects. Do not assign domestic energy or environmental-exposure cases unless the housing or residential mechanism is central.",rulecat-0.1
28,R028,category,Housing & Planning,Research Domain,counterexample,Housing & Planning: counterexample (instead consider COVID-19 & Pandemic),"Studies where home is only the location of pandemic behaviour, remote activity, public-health guidance, or other activity not substantively about housing or residential conditions.",rulecat-0.1
29,R029,category,Labour Market & Employment,Research Domain,definition,Labour Market & Employment: definition,"Research concerning work, employment, labour-market participation, and workforce dynamics. Includes wages and earnings; employment, unemployment, inactivity and underemployment; job quality; working hours, contracts, gig or platform work, and working conditions; labour supply and demand; occupational, sectoral and geographic mobility; workforce recruitment and retention; skills demand and mismatch; and transitions into, through, or out of work.",rulecat-0.1
30,R030,category,Labour Market & Employment,Research Domain,inclusion rule,Labour Market & Employment: inclusion rule,"Assign when work, employment, earnings, labour supply or demand, workforce composition, job quality, occupational structure, or labour-market transitions are central to the project, even where the study population is defined by another characteristic.",rulecat-0.1
31,R031,category,Labour Market & Employment,Research Domain,exclusion rule,Labour Market & Employment: exclusion rule,"Do not assign solely because a project mentions income, education, productivity, health, migration, or workers, or where employment or earnings data are used only as background context. Use **Education & Skills** for education systems and qualifications unless labour-market outcomes are central. Use **Poverty, Wealth & Living Standards** for household resources, poverty, wealth, debt, or living standards unless employment, earnings, job quality, or labour-market progression are substantively analysed.",rulecat-0.1
32,R032,category,Labour Market & Employment,Research Domain,counterexample,"Labour Market & Employment: counterexample (instead consider Poverty, Wealth & Living Standards)","Studies whose central object is household resources, saving, debt, wealth, poverty, or living standards, where earnings or employment variables are used only as background characteristics, controls, or contextual measures.",rulecat-0.1
33,R033,category,Migration & Demographics,Research Domain,definition,Migration & Demographics: definition,"Research concerning population structure, population change, migration, immigration, population mobility, fertility, ageing, mortality as a demographic outcome, census-based population analysis, and demographic composition.",rulecat-0.1
34,R034,category,Migration & Demographics,Research Domain,inclusion rule,Migration & Demographics: inclusion rule,"Assign when the project studies migration flows, immigration policy, population movement, demographic change, fertility, ageing, census populations, population projections, or mortality as a demographic outcome.",rulecat-0.1
35,R035,category,Migration & Demographics,Research Domain,exclusion rule,Migration & Demographics: exclusion rule,"Do not assign solely because a project includes ethnicity, age, or migrant status as a subgroup. Use **Labour Market & Employment** for migrant employment or earnings if labour-market outcomes are central. Use **Health & Social Care** for mortality or morbidity where the research question is health-focused.",rulecat-0.1
36,R036,category,Migration & Demographics,Research Domain,counterexample,Migration & Demographics: counterexample (instead consider Demographic disparities / equity tag),"Studies comparing outcomes by ethnicity, nationality, or other demographic characteristics within a labour, justice, health, or education question.",rulecat-0.1
37,R037,category,"Poverty, Wealth & Living Standards",Research Domain,definition,"Poverty, Wealth & Living Standards: definition","Research concerning material resources, economic hardship, household living standards, poverty, wealth, debt, savings, benefits, deprivation, food security, cost of living, household income, and distribution of resources.",rulecat-0.1
38,R038,category,"Poverty, Wealth & Living Standards",Research Domain,inclusion rule,"Poverty, Wealth & Living Standards: inclusion rule","Assign when the project's substantive focus is household resources, poverty, household income, wealth, savings, debt, benefits, deprivation, food insecurity, cost-of-living pressures, living standards, economic hardship, or material living conditions.",rulecat-0.1
39,R039,category,"Poverty, Wealth & Living Standards",Research Domain,exclusion rule,"Poverty, Wealth & Living Standards: exclusion rule","Do not assign solely because a title mentions pay gaps, employment, socioeconomic status, deprivation indices, or area-level disadvantage. Do not assign where the central question is employment, earnings, job quality, productivity, tax/public spending, or demographic disparity and household resources or material living standards are only contextual.",rulecat-0.1
40,R040,category,"Poverty, Wealth & Living Standards",Research Domain,counterexample,"Poverty, Wealth & Living Standards: counterexample (instead consider Labour Market & Employment)","Studies whose object is pay, earnings gaps, or labour-market inequality rather than household resources or material living standards.",rulecat-0.1
41,R041,category,Public Finance & Taxation,Research Domain,definition,Public Finance & Taxation: definition,"Research concerning government revenue, taxation, tax compliance, tax credits, public expenditure, public spending, fiscal transfers, business rates, tax reliefs, and fiscal policy.",rulecat-0.1
42,R042,category,Public Finance & Taxation,Research Domain,inclusion rule,Public Finance & Taxation: inclusion rule,"Assign when the project studies tax policy, tax behaviour, tax compliance, government expenditure, public spending, fiscal transfers, tax credits, business rates, or distributional impacts of fiscal policy.",rulecat-0.1
43,R043,category,Public Finance & Taxation,Research Domain,exclusion rule,Public Finance & Taxation: exclusion rule,"Do not assign to private wealth transfers, household wealth, firm investment, or business outcomes unless the public finance/tax mechanism is central. Use **Business & Productivity** for firm outcomes of business-support schemes unless fiscal design or tax/public spending is the main object.",rulecat-0.1
44,R044,category,Public Finance & Taxation,Research Domain,counterexample,"Public Finance & Taxation: counterexample (instead consider Poverty, Wealth & Living Standards)","Studies of private debt, saving, wealth, or household finances without a tax, benefit, spending, or fiscal-policy mechanism.",rulecat-0.1
45,R045,category,Unclear from Register Entry,Research Domain,definition,Unclear from Register Entry (Research Domain): definition,Use only where the project title and dataset field together do not provide enough evidence to assign any substantive domain.,rulecat-0.1
46,R046,category,Unclear from Register Entry,Research Domain,inclusion rule,Unclear from Register Entry (Research Domain): inclusion rule,"Assign only where the title is an opaque acronym, internal project name, or otherwise non-descriptive, and the datasets are domain-agnostic or absent, so that neither field resolves the substantive domain.",rulecat-0.1
47,R047,category,Unclear from Register Entry,Research Domain,exclusion rule,Unclear from Register Entry (Research Domain): exclusion rule,"Do not assign if the dataset field reveals a clear domain. Do not assign alongside a real domain. If any domain can be inferred with reasonable confidence, use that domain.",rulecat-0.1
48,R048,category,Unclear from Register Entry,Research Domain,counterexample,Unclear from Register Entry (Research Domain): counterexample,"Acronym-bearing or branded entries where the dataset field lists domain-specific datasets that identify the substantive area, such as court records, hospital admissions, or school census data.",rulecat-0.1
49,R049,category,Descriptive Monitoring,Analytical Purpose,definition,Descriptive Monitoring: definition,"Research whose analytical purpose is to measure and characterise a phenomenon — its level, prevalence, distribution, composition, profile, trend, or pattern — including how it varies across places, populations, or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.",rulecat-0.1
50,R050,category,Descriptive Monitoring,Analytical Purpose,inclusion rule,Descriptive Monitoring: inclusion rule,"Assign where the project's visible analytical operation is to measure prevalence, levels, counts, profiles, distributions, characteristics, indicators, trends, or patterns, including variation across places, populations, organisations, or time, without primarily testing an exposure-outcome relationship or evaluating a named intervention.",rulecat-0.1
51,R051,category,Descriptive Monitoring,Analytical Purpose,exclusion rule,Descriptive Monitoring: exclusion rule,"Do not assign where the project primarily tests whether X leads to Y, evaluates a named policy/programme/intervention, predicts or identifies future risk, analyses movement through services, or develops/validates methods or infrastructure. Use **Outcome Tracking** for exposure-outcome designs and **Policy Evaluation / Impact Analysis** for named policies, programmes, or interventions.",rulecat-0.1
52,R052,category,Descriptive Monitoring,Analytical Purpose,counterexample,Descriptive Monitoring: counterexample (instead consider Outcome Tracking),"Studies designed to estimate whether a condition, exposure, or characteristic is associated with a downstream outcome.",rulecat-0.1
53,R053,category,Life-Course / Trajectory Analysis,Analytical Purpose,definition,Life-Course / Trajectory Analysis: definition,"Research that follows individuals, cohorts, households, firms, or cases across extended time periods, transitions, or life stages to understand trajectories, progression, mobility, or cumulative outcomes.",rulecat-0.1
54,R054,category,Life-Course / Trajectory Analysis,Analytical Purpose,inclusion rule,Life-Course / Trajectory Analysis: inclusion rule,"Assign where the project follows individuals, households, firms, or cases through sequences, stages, transitions, pathways, or trajectories over an extended period, such as childhood-to-adulthood, education-to-work, offending careers, family trajectories, employment histories, intergenerational mobility, social mobility, health trajectories, or long-run outcomes.",rulecat-0.1
55,R055,category,Life-Course / Trajectory Analysis,Analytical Purpose,exclusion rule,Life-Course / Trajectory Analysis: exclusion rule,"Do not assign merely because longitudinal data are used. Do not assign where the study is mainly a single exposure-outcome test or a named policy evaluation over time. Where the pathway is movement through public-service or institutional systems (courts, family justice, support services, emergency departments, referrals, or case processing), **Service Interaction / Systems Analysis** is the primary reading; Life-Course / Trajectory Analysis may additionally apply where extended life-stage progression or long-run trajectory analysis is also central.",rulecat-0.1
56,R056,category,Life-Course / Trajectory Analysis,Analytical Purpose,counterexample,Life-Course / Trajectory Analysis: counterexample (instead consider Outcome Tracking),Studies using longitudinal data to estimate one exposure-outcome relationship without analysing extended progression or sequence.,rulecat-0.1
57,R057,category,Methodological / Infrastructure Research,Analytical Purpose,definition,Methodological / Infrastructure Research: definition,"Research whose primary purpose is to develop, test, validate, improve, or document methods, data infrastructure, measurement frameworks, linkage approaches, survey methods, or data assets.",rulecat-0.1
58,R058,category,Methodological / Infrastructure Research,Analytical Purpose,inclusion rule,Methodological / Infrastructure Research: inclusion rule,"Assign when developing, testing, validating, improving, documenting, or demonstrating methods, measures, data quality, classifications, datasets, linkage approaches, statistical estimates, indicators, or research infrastructure is the main analytical operation.",rulecat-0.1
59,R059,category,Methodological / Infrastructure Research,Analytical Purpose,exclusion rule,Methodological / Infrastructure Research: exclusion rule,"Do not assign solely because a project uses complex data, administrative data, linked data, advanced statistical methods, machine learning, or a secure research environment. Assign this purpose only where the methodological or infrastructural contribution is central, not merely instrumental to a substantive question.",rulecat-0.1
60,R060,category,Methodological / Infrastructure Research,Analytical Purpose,counterexample,Methodological / Infrastructure Research: counterexample,"Substantive studies that use administrative data, linkage, modelling, machine learning, or advanced statistical methods only as tools to answer another research question.",rulecat-0.1
61,R061,category,Outcome Tracking,Analytical Purpose,definition,Outcome Tracking: definition,"Research that links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome.",rulecat-0.1
62,R062,category,Outcome Tracking,Analytical Purpose,inclusion rule,Outcome Tracking: inclusion rule,"Assign where the project links a naturally occurring exposure, condition, event, status, characteristic, or circumstance to a downstream outcome, and the exposure is not a deliberate named policy, programme, or intervention.",rulecat-0.1
63,R063,category,Outcome Tracking,Analytical Purpose,exclusion rule,Outcome Tracking: exclusion rule,"Do not assign where the exposure is a named policy, programme, reform, or intervention; use **Policy Evaluation / Impact Analysis**. Do not assign if the project only measures patterns or trends; use **Descriptive Monitoring**. Do not assign where the aim is prospective prediction, risk scoring, screening, or early identification; use **Risk Prediction / Early Identification**. Do not assign where the main focus is extended life-stage progression or movement through service systems.",rulecat-0.1
64,R064,category,Outcome Tracking,Analytical Purpose,counterexample,Outcome Tracking: counterexample (instead consider Policy Evaluation / Impact Analysis),"Studies estimating the effect of a named policy, programme, scheme, fund, levy, reform, or intervention.",rulecat-0.1
65,R065,category,Policy Evaluation / Impact Analysis,Analytical Purpose,definition,Policy Evaluation / Impact Analysis: definition,"Research that evaluates the effects, impacts, implementation, or consequences of a specific named policy, programme, regulation, intervention, scheme, or institutional change.",rulecat-0.1
66,R066,category,Policy Evaluation / Impact Analysis,Analytical Purpose,inclusion rule,Policy Evaluation / Impact Analysis: inclusion rule,"Assign when the project evaluates, estimates the impact of, or compares outcomes before, after, or around a deliberate policy action, programme, intervention, reform, scheme, tax/relief, subsidy, public investment, business-support programme, school/apprenticeship policy, transport scheme, or similar designed change.",rulecat-0.1
67,R067,category,Policy Evaluation / Impact Analysis,Analytical Purpose,exclusion rule,Policy Evaluation / Impact Analysis: exclusion rule,"Do not assign where the exposure is a naturally occurring event, condition, characteristic, or broad context rather than a deliberate policy, programme, reform, or intervention. Use **Outcome Tracking** for non-policy exposures and **Descriptive Monitoring** where the project only profiles or monitors a phenomenon.",rulecat-0.1
68,R068,category,Policy Evaluation / Impact Analysis,Analytical Purpose,counterexample,Policy Evaluation / Impact Analysis: counterexample (instead consider Outcome Tracking),"Studies of naturally occurring conditions or characteristics, such as illness, debt, housing conditions, or family context.",rulecat-0.1
69,R069,category,Risk Prediction / Early Identification,Analytical Purpose,definition,Risk Prediction / Early Identification: definition,"Research with an explicit predictive or early-identification design focused on predicting risk, identifying at-risk individuals or groups, building risk scores, developing screening tools, or prospectively targeting people or places before or as an adverse outcome emerges.",rulecat-0.1
70,R070,category,Risk Prediction / Early Identification,Analytical Purpose,inclusion rule,Risk Prediction / Early Identification: inclusion rule,"Assign only where the project explicitly involves prediction, risk scoring, screening, early identification, triage, a prediction model, or prospective targeting of at-risk individuals, groups, places, firms, or cases. The design must aim to identify who or where is at elevated risk before or as the outcome emerges.",rulecat-0.1
71,R071,category,Risk Prediction / Early Identification,Analytical Purpose,exclusion rule,Risk Prediction / Early Identification: exclusion rule,"Do not assign merely because a project uses risk, risk factor, predictor, determinants, or similar vocabulary, or estimates associations between exposures and outcomes. Use **Outcome Tracking** where the project analyses predictors or risk factors without a prediction, screening, early-identification, triage, or prospective-targeting aim.",rulecat-0.1
72,R072,category,Risk Prediction / Early Identification,Analytical Purpose,counterexample,Risk Prediction / Early Identification: counterexample (instead consider Outcome Tracking),"Studies estimating associations between an exposure, condition, risk factor, or predictor and an outcome without building or using a prediction, screening, triage, or early-identification design.",rulecat-0.1
73,R073,category,Service Interaction / Systems Analysis,Analytical Purpose,definition,Service Interaction / Systems Analysis: definition,"Research focused on how people, cases, families, or organisations move through, use, access, or are processed by public service systems.",rulecat-0.1
74,R074,category,Service Interaction / Systems Analysis,Analytical Purpose,inclusion rule,Service Interaction / Systems Analysis: inclusion rule,"Assign where service uptake, help-seeking, referrals, support pathways, repeated or high-intensity use, case progression, institutional processing, utilisation, welfare administration, benefit-service pathways, or cross-service movement are central to the analytical operation. Pathways through public-service or institutional systems (courts, family justice, welfare administration, support services, emergency departments, referrals, or case processing) are the primary reading for this category; **Life-Course / Trajectory Analysis** may additionally apply where extended life-stage progression is also central.",rulecat-0.1
75,R075,category,Service Interaction / Systems Analysis,Analytical Purpose,exclusion rule,Service Interaction / Systems Analysis: exclusion rule,"Do not assign merely because an outcome occurs in a public service context. If the service is only the setting and the focus is an individual outcome, use **Outcome Tracking**. If the project evaluates a named service reform, programme, or intervention, use **Policy Evaluation / Impact Analysis**.",rulecat-0.1
76,R076,category,Service Interaction / Systems Analysis,Analytical Purpose,counterexample,"Service Interaction / Systems Analysis: counterexample (instead consider Outcome Tracking, Descriptive Monitoring)","Studies where a public-service dataset — such as hospital, benefits, tax, or court administrative records — is merely the data source for estimating an individual outcome or descriptive pattern.",rulecat-0.1
77,R077,category,Unclear from Register Entry,Analytical Purpose,definition,Unclear from Register Entry (Analytical Purpose): definition,Use where the project title and datasets do not provide enough information to infer the analytical purpose.,rulecat-0.1
78,R078,category,Unclear from Register Entry,Analytical Purpose,inclusion rule,Unclear from Register Entry (Analytical Purpose): inclusion rule,Assign only where the analytical design cannot be inferred from the public register entry. It may be possible to classify the domain while leaving purpose unclear.,rulecat-0.1
79,R079,category,Unclear from Register Entry,Analytical Purpose,exclusion rule,Unclear from Register Entry (Analytical Purpose): exclusion rule,"Do not assign if the title or dataset field indicates monitoring, impact/evaluation, prediction, pathways, trajectories, exposure-outcome analysis, service-system analysis, or method/infrastructure development. Do not assign alongside a valid Layer C purpose.",rulecat-0.1
80,R080,category,Unclear from Register Entry,Analytical Purpose,counterexample,Unclear from Register Entry (Analytical Purpose): counterexample (instead consider Policy Evaluation / Impact Analysis),"Opaque or branded entries that still contain clear evaluation, impact, prediction, pathway, monitoring, or method-development wording.",rulecat-0.1
81,R081,category,COVID-19 & Pandemic,tag,definition,COVID-19 & Pandemic: definition,"A cross-cutting tag for projects where COVID-19, the COVID-19 pandemic, pandemic conditions, infection surveillance, vaccination, lockdowns, social distancing, pandemic-related public support, or pandemic consequences are a central condition or lens for the research question.",rulecat-0.1
82,R082,category,COVID-19 & Pandemic,tag,inclusion rule,COVID-19 & Pandemic: inclusion rule,"Assign where COVID-19 or pandemic conditions are central to the research question. Use this tag for the pandemic condition or lens while assigning the substantive domain according to the outcome, system, policy area, or mechanism being studied. If the project studies COVID-19 effects on employment, business, health, education, inequality, or households, assign this tag alongside the relevant substantive domain or domains. The tag can be combined with any Layer A domain, any Layer C purpose, and other cross-cutting tags.",rulecat-0.1
83,R083,category,COVID-19 & Pandemic,tag,exclusion rule,COVID-19 & Pandemic: exclusion rule,"Do not assign simply because the project occurred during the pandemic period. Do not assign to infectious disease, health, or mortality studies unless COVID-19 or pandemic framing is explicit. Do not use this tag as a substitute for the substantive domain or analytical purpose.",rulecat-0.1
84,R084,category,COVID-19 & Pandemic,tag,counterexample,COVID-19 & Pandemic: counterexample,"Studies where COVID-19 is only a date range, background period, excluded cause, or incidental context for otherwise non-pandemic research.",rulecat-0.1
85,R085,category,Demographic disparities / equity tag,tag,definition,Demographic disparities / equity tag: definition,"A cross-cutting tag for projects whose research question centres on comparing outcomes, experiences, risks, access, or trajectories across demographic or equality-relevant groups.",rulecat-0.1
86,R086,category,Demographic disparities / equity tag,tag,inclusion rule,Demographic disparities / equity tag: inclusion rule,"Assign where demographic or equality-relevant comparison is central to the research question, especially comparison by age, cohort, sex, gender, race, ethnicity, religion, disability, migrant/refugee status, nationality, or similar group characteristics. Use this tag for the demographic or equality-relevant comparative lens while assigning the substantive domain according to the outcome, system, policy area, or mechanism being studied. Socioeconomic comparison qualifies only where the comparison is made across a demographic or equality-relevant group; socioeconomic position alone is not sufficient. The tag can be combined with any Layer A domain and any Layer C purpose.",rulecat-0.1
87,R087,category,Demographic disparities / equity tag,tag,exclusion rule,Demographic disparities / equity tag: exclusion rule,"Do not assign merely because demographic variables are used as controls, covariates, sample descriptors, or routine stratifiers. Do not assign to poverty, income, wealth, deprivation, regional inequality, or socioeconomic-position projects where the comparison is not centrally across a demographic or equality-relevant group. Do not use this tag as a substitute for the substantive domain or analytical purpose.",rulecat-0.1
88,R088,category,Demographic disparities / equity tag,tag,counterexample,"Demographic disparities / equity tag: counterexample (instead consider Poverty, Wealth & Living Standards)","Studies of socioeconomic inequality, household debt, cost-of-living, deprivation, regional disadvantage, or area-level inequality without a central comparison across a demographic or equality-relevant group.",rulecat-0.1
89,R089,principle,,principle,layer_cardinality,Principle: layer cardinality,Layer A -- domain: one or more Layer C -- purpose: one or two Cross-cutting tag: zero or more / boolean facets,rulecat-0.1
90,R090,principle,,principle,layer_a_assignment_rule,Principle: layer a assignment rule,"Assign every Layer A domain where the register entry gives substantive evidence that the project analyses that domain; domains are non-hierarchical, so where more than one applies, assign all of them with no primary/secondary ordering. For example, a project about how employment changes affect household debt may receive both Labour Market & Employment and Poverty, Wealth & Living Standards.",rulecat-0.1
91,R091,principle,,principle,layer_c_assignment_rule,Principle: layer c assignment rule,"Assign a Layer C purpose according to the analytical operation visible from the register entry: monitoring patterns, tracking exposure-outcome relationships, evaluating a policy or intervention, analysing trajectories, studying service-system interaction, predicting or identifying risk, or developing methods or infrastructure. Assign one or two purposes where more than one operation is central; assign two only where both are genuinely substantive.",rulecat-0.1
92,R092,principle,,principle,unclear_fallback_rule,Principle: unclear fallback rule,"""Unclear from Register Entry"" appears in Layer A and Layer C. In each active layer the label describes insufficient evidence in the public register entry — not research that is inherently unclassifiable. Assign it only where the relevant register fields genuinely do not determine the domain or purpose; if the evidence resolves the category, assign the resolved category instead.",rulecat-0.1
93,R093,principle,,principle,methodology_domain_purpose_distinction,Principle: methodology domain purpose distinction,"Data Infrastructure & Methodology (Layer A, a domain) and Methodological / Infrastructure Research (Layer C, a purpose) are related but not equivalent. Assign the Layer A domain when data, methods, measurement, classification, linkage, or statistical infrastructure are the substantive object of the research — what the project is about. Assign the Layer C purpose when the project's analytical operation is to develop, test, validate, improve, document, or demonstrate such a method, measure, data asset, linkage process, or infrastructure — what the project does. The mere use of administrative data, advanced methods, or linkage is not sufficient for either: those are how most modern research is done. They often co-occur, but neither label automatically triggers the other.",rulecat-0.1
94,R094,principle,,principle,layer_independence,Principle: layer independence,"Layer A, Layer C, and cross-cutting tags answer different questions. The same element — a policy, dataset, population group, method, or service setting — may inform more than one layer without merging them. Assign the substantive domain, analytical purpose, and any cross-cutting tags independently.",rulecat-0.1
95,R095,principle,,principle,evidence_not_keyword_rule,Principle: evidence not keyword rule,"Do not assign any category solely because a word, dataset, variable, population group, method, or service setting appears in the register entry. Assign a category only where the register fields provide enough evidence that the category is central to the research question, analytical operation, or cross-cutting lens. This rule applies to every layer.",rulecat-0.1
96,R096,principle,,principle,register_field_evidence_rule,Principle: register field evidence rule,"Classification draws on the register entry's informative fields — the project title and the dataset field — read together. The title usually provides the research question or analytical framing, while the dataset field can resolve the substantive domain and sometimes the analytical purpose. Do not treat the dataset field as irrelevant to active LLM outputs merely because linkage is now deterministic.",rulecat-0.1
97,R097,principle,,principle,domain_purpose_separation,Principle: domain purpose separation,"Domain and purpose are assigned independently. The domain follows the substantive object of the research visible from the register entry — the outcome, system, population process, institution, sector, or mechanism being studied. The purpose follows the analytical operation performed on that object — what the project does with it (for example, monitoring, evaluation, prediction, or trajectory analysis). Because these are different questions, a named policy or programme fixes the purpose without displacing the domain: a study evaluating a housing subsidy is a housing study by domain and a policy-evaluation study by purpose.",rulecat-0.1
