code,group,name,description,components,source,introduced_in
23,rule,"Tags: Demographic disparities / equity tag vs Poverty, Wealth & Living Standards","One is assigned where the frozen rules point to the other, or the pair is confused.",equity;dom,dict-1.0-rc2 exclusion rule or counterexample under Demographic disparities / equity tag,mechvocab-0.1
24,rule,General: label assigned from an incidental mention or background data,"A label is assigned because the entry mentions a topic, or uses data only as background, controls or context, which the exclusion rules repeatedly forbid.",dom;purp,dict-1.0-rc2 exclusion rules (repeated 'do not assign solely/merely because' wording),mechvocab-0.1
25,rule,General: label central to the entry omitted,"A label whose inclusion rule is met, because its subject is central to the project, is left out.",dom;purp,dict-1.0-rc2 inclusion rules ('assign when ... central'),mechvocab-0.1
26,rule,General: Unclear from Register Entry used though the entry resolves the label,Unclear is assigned although the title or datasets reveal a clear domain or purpose.,dom;purp,"dict-1.0-rc2 Unclear from Register Entry exclusion rules, Layers A and C",mechvocab-0.1
27,rule,General: substantive label assigned where only Unclear is supported,A substantive label is assigned although the title is opaque and the datasets do not resolve the domain or purpose.,dom;purp,"dict-1.0-rc2 Unclear from Register Entry inclusion rules, Layers A and C",mechvocab-0.1
28,rule,"Tags: equity tag applied for controls, covariates or routine stratifiers","The equity tag is assigned although demographic variables are only controls, covariates, sample descriptors or routine stratifiers.",equity,dict-1.0-rc2 equity tag exclusion rule,mechvocab-0.1
29,rule,Tags: equity tag omitted where a demographic comparison is central,The equity tag is left out although comparison across demographic or equality-relevant groups is central to the research question.,equity,dict-1.0-rc2 equity tag inclusion rule,mechvocab-0.1
30,rule,Tags: COVID-19 tag applied because the study period overlaps the pandemic,"The COVID-19 tag is assigned although COVID-19 is only a date range, background period or incidental context.",covid,dict-1.0-rc2 COVID-19 tag exclusion rule and counterexample,mechvocab-0.1
31,rule,Tags: COVID-19 tag applied to health or infectious-disease research without explicit pandemic framing,"The COVID-19 tag is assigned to infectious disease, health or mortality research where COVID-19 or pandemic framing is not explicit.",covid,dict-1.0-rc2 COVID-19 tag exclusion rule,mechvocab-0.1
32,rule,Tags: COVID-19 tag omitted where pandemic conditions are central,The COVID-19 tag is left out although COVID-19 or pandemic conditions are central to the research question.,covid,dict-1.0-rc2 COVID-19 tag inclusion rule,mechvocab-0.1
33,rule,Tags: tag used as a substitute for a substantive domain or purpose,A tag stands in for the domain or purpose it should accompany.,covid;equity,dict-1.0-rc2 exclusion rules of both tags,mechvocab-0.1
34,rule,Taxonomy: no category adequately represents the research focus,"The project's substantive focus has no adequate category, so sources choose different near fits.",dom;purp,Protocol §9.3(4): missing or inadequately represented category,mechvocab-0.1
35,rule,Taxonomy: category definitions overlap where the rules give no resolution,Two categories both fit and no exclusion rule or counterexample says which applies.,dom;purp,Protocol §9.3(4): ambiguous or overlapping category boundaries,mechvocab-0.1
101,data,"Data: datasets-used or title field truncated, garbled or mis-parsed",The public entry shown differs from the source because a field was parsed incorrectly.,dom;purp;covid;equity,Protocol §9.3(7): a parsed field,mechvocab-0.1
102,data,Data: cleaning decision changed the visible entry,A cleaning or deduplication decision altered what the entry showed.,dom;purp;covid;equity,Protocol §9.3(7): a cleaning decision,mechvocab-0.1
103,data,Data: Record ID or duplicate-entry problem,"The entry is linked to the wrong record, duplicated or merged.",dom;purp;covid;equity,Protocol §9.3(7): a Record-ID issue,mechvocab-0.1
104,data,Data: form design or wording shaped the recorded classification,"An instrument's layout, wording or choices led a source to a classification it would not otherwise give.",dom;purp;covid;equity,Protocol §9.3(7): form design,mechvocab-0.1
105,data,Data: branching or validation rule shaped the recorded classification,"A branching rule, requiredness or validation limit constrained the recorded answer.",dom;purp;covid;equity,Protocol §9.3(7): a branching rule,mechvocab-0.1
106,data,Data: other procedure affected the classification,A procedural step not listed above affected the classification.,dom;purp;covid;equity,Protocol §9.3(7): related procedure,mechvocab-0.1
