Record ID,Project ID,Title,gpt_status,domains_exact_match,domains_jaccard,purposes_exact_match,purposes_jaccard,covid_tag_match,disparities_tag_match,tag_set_match,any_tag_set_match,tag_only_disagreement,DISAGREE,fable_domains,gpt_domains,fable_purposes,gpt_purposes,fable_tags,gpt_tags,fable_rationale,gpt_rationale,gpt_validation_error,disagreement_layer
2022/045,2022/045,Creative clusters: spillovers and growth potential,ok,False,0.5,False,0.5,True,True,True,True,False,True,Business & Productivity,Business & Productivity; Labour Market & Employment,Outcome Tracking,Descriptive Monitoring; Outcome Tracking,,,"Assigned Business & Productivity because the project studies creative-industry clusters, spillovers and growth using business, R&D and innovation surveys; Outcome Tracking because it links clustering (a naturally occurring condition) to spillover and growth outcomes rather than evaluating a named intervention; no tag because no demographic or pandemic lens is evident.","Assigned Business & Productivity and Labour Market & Employment because the title focuses on creative clusters, spillovers and growth potential using business, innovation, skills and labour-force datasets; Descriptive Monitoring and Outcome Tracking because the project appears to characterise creative clusters and relate cluster spillovers to growth potential; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.",,both
2022/053,2022/053,Assessing the Economic Impact of the BBC,ok,False,0.5,False,0.0,True,True,True,True,False,True,Business & Productivity,Business & Productivity; Labour Market & Employment,Policy Evaluation / Impact Analysis,Outcome Tracking,,,Assigned Business & Productivity because the project assesses the economic impact of the BBC on economic activity using the Business Structure Database and Annual Population Survey; Policy Evaluation / Impact Analysis because estimating the impact of a specific named public institution is the central analytical operation; no tag because no equity or pandemic lens is evident.,Assigned Business & Productivity and Labour Market & Employment because assessing the BBC's economic impact with Business Structure Database and Annual Population Survey data points to firm/economic activity and employment effects; Outcome Tracking because it assesses the BBC as an institutional economic exposure linked to downstream economic outcomes rather than a named policy reform; no cross-cutting tag because no demographic-equity or COVID-19 lens is explicit.,,both
2022/087,2022/087,Gender Gap in STEM over the Life Cycle,ok,False,0.5,False,0.5,True,True,True,True,False,True,Labour Market & Employment; Education & Skills,Labour Market & Employment,Life-Course / Trajectory Analysis,Descriptive Monitoring; Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Demographic disparities / equity tag,Assigned Labour Market & Employment and Education & Skills because the gender gap in STEM concerns qualification and occupational pathways measured through the Quarterly Labour Force Survey; Life-Course / Trajectory Analysis because the explicit framing 'over the life cycle' follows individuals through career stages; Demographic disparities tag because gender comparison is central to the research question.,Assigned Labour Market & Employment because the title studies the gender gap in STEM using the Quarterly Labour Force Survey; Descriptive Monitoring and Life-Course / Trajectory Analysis because it profiles the gender gap across the life cycle; Demographic disparities / equity tag because gender comparison is central to the research question.,,both
2022/108,2022/108,The Future of Work and Wellbeing: The Pissarides Review,ok,False,0.5,False,0.0,True,True,True,True,False,True,Labour Market & Employment,Labour Market & Employment; Health & Social Care,Outcome Tracking,Descriptive Monitoring,,,"Assigned Labour Market & Employment because the Pissarides Review studies the future of work and worker wellbeing using APS, ASHE and LFS labour-market data; Outcome Tracking because it links changing work conditions and technological transformation to wellbeing and labour outcomes rather than evaluating a named policy; no tag because no demographic or pandemic lens is central.",Assigned Labour Market & Employment and Health & Social Care because the title centres on the future of work and wellbeing using labour-market survey and earnings datasets; Descriptive Monitoring because the register entry indicates a broad review of work and wellbeing patterns rather than a named intervention or explicit prediction design; no tag because neither COVID-19 nor demographic equity is central.,,both
2022/116,2022/116,Outsourcing and alternative employment relationships in the UK,ok,False,0.5,False,0.5,True,True,True,True,False,True,Labour Market & Employment,Labour Market & Employment; Business & Productivity,Descriptive Monitoring; Outcome Tracking,Descriptive Monitoring,,,Assigned Labour Market & Employment because the project examines outsourcing and alternative employment relationships using earnings and workplace relations surveys; Descriptive Monitoring and Outcome Tracking because the design appears to measure the extent of outsourcing and link these employment arrangements to worker outcomes such as pay; no tag because no demographic-equity or pandemic focus is evident.,"Assigned Labour Market & Employment and Business & Productivity because the title concerns outsourcing and alternative employment relationships and the datasets cover earnings, workplaces, purchases, and business structure; Descriptive Monitoring because the register entry indicates characterising these employment and firm-organisation patterns in the UK; no cross-cutting tags because no pandemic or demographic-equity lens is explicit.",,both
2022/140,2022/140,Local job quality quantification model,ok,False,0.5,False,0.5,True,True,True,True,False,True,Labour Market & Employment,Labour Market & Employment; Data Infrastructure & Methodology,Methodological / Infrastructure Research; Descriptive Monitoring,Methodological / Infrastructure Research,,,"Assigned Labour Market & Employment because the project centres on job quality measured via the Annual Population Survey; Methodological / Infrastructure Research and Descriptive Monitoring because the aim is to build a 'quantification model' of local job quality, developing a measure while profiling local variation; no tag because no demographic or pandemic lens is evident.",Assigned Labour Market & Employment and Data Infrastructure & Methodology because the title concerns a model for quantifying local job quality using the Annual Population Survey; Methodological / Infrastructure Research because developing or applying a quantification model is the visible analytical operation; no tag because no demographic-equity or COVID-19 lens is indicated.,,both
2022/159,2022/159,"Paid employment, deprivation and unpaid care work across England and Wales",ok,False,0.6666666666666666,False,0.0,True,True,True,True,False,True,"Labour Market & Employment; Poverty, Wealth & Living Standards","Labour Market & Employment; Poverty, Wealth & Living Standards; Health & Social Care",Outcome Tracking,Descriptive Monitoring,,,"Assigned Labour Market & Employment and Poverty, Wealth & Living Standards because the project studies relationships between paid employment, deprivation and unpaid care work using the ONS Longitudinal Study; Outcome Tracking because it links unpaid care and deprivation circumstances to employment outcomes rather than only profiling them; no tag because no demographic-group comparison or pandemic lens is stated as central.","Assigned Labour Market & Employment, Poverty, Wealth & Living Standards and Health & Social Care because the title jointly focuses on paid employment, deprivation and unpaid care work across England and Wales using the ONS Longitudinal Study; Descriptive Monitoring because it characterises these linked conditions across places and populations; no tag because no specific demographic equity or COVID-19 lens is stated.",,both
2022/161,2022/161,Estimating local intergenerational social mobility: carers versus non-carers in England and Wales,ok,False,0.3333333333333333,False,0.5,True,True,True,True,False,True,Labour Market & Employment,"Labour Market & Employment; Health & Social Care; Poverty, Wealth & Living Standards",Life-Course / Trajectory Analysis,Descriptive Monitoring; Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Demographic disparities / equity tag,"Assigned Labour Market & Employment because intergenerational social mobility, an occupational/socioeconomic mobility outcome, is the substantive object using the ONS Longitudinal Study; Life-Course / Trajectory Analysis because the design follows individuals across generations to estimate mobility; Demographic disparities tag because the central comparison is between carers and non-carers, an equality-relevant group contrast.","Assigned Labour Market & Employment, Health & Social Care and Poverty, Wealth & Living Standards because the title estimates intergenerational social mobility locally and compares carers with non-carers using the ONS Longitudinal Study; Descriptive Monitoring and Life-Course / Trajectory Analysis because it estimates local mobility patterns across generations; Demographic disparities / equity tag because carers versus non-carers is the central comparison group lens.",,both
2022/195,2022/195,Measuring Capital in the UK Regions and Industries,ok,False,0.5,False,0.5,True,True,True,True,False,True,Business & Productivity; Data Infrastructure & Methodology,Business & Productivity,Methodological / Infrastructure Research; Descriptive Monitoring,Descriptive Monitoring,,,Assigned Business & Productivity and Data Infrastructure & Methodology because measuring capital stocks across regions and industries using multiple business surveys concerns firm-level economic activity and the construction of measurement estimates as the object itself; Methodological / Infrastructure Research and Descriptive Monitoring because the operation is developing capital measures and characterising their regional and industrial distribution; no tag because no demographic or pandemic lens is present.,"Assigned Business & Productivity because the title measures capital across UK regions and industries using business, purchases, R&D and firm-structure datasets; Descriptive Monitoring because the visible operation is measuring the distribution of capital by region and industry; no cross-cutting tag because no demographic-equity or COVID-19 lens is indicated.",,both
2023/001,2023/001,Retirement pensions and disability insurance for the 21st century,ok,False,0.3333333333333333,False,0.0,True,True,True,True,False,True,"Labour Market & Employment; Poverty, Wealth & Living Standards",Labour Market & Employment; Public Finance & Taxation,Policy Evaluation / Impact Analysis,Unclear from Register Entry,,,"Assigned Labour Market & Employment and Poverty, Wealth & Living Standards because retirement pensions and disability insurance concern labour supply at older ages and benefit/household-resource systems, studied via LFS and APS data; Policy Evaluation / Impact Analysis because the project analyses the design and consequences of pension and disability insurance programmes; no tag because disability appears as a policy domain rather than a central group-comparison lens and no pandemic framing appears.","Assigned Labour Market & Employment and Public Finance & Taxation because the title concerns retirement pensions and disability insurance using Labour Force Survey and Annual Population Survey data, linking labour-force participation with social-insurance transfers; Unclear from Register Entry because the title does not reveal whether the study is descriptive, evaluative, trajectory-based or exposure-outcome analysis; no tag because no pandemic or demographic-equity comparison is specified.",,both
2023/002,2023/002,Enabling Age Friendly Retail Environments for Healthy Ageing,ok,False,0.5,False,0.0,True,True,True,True,False,True,Health & Social Care,Health & Social Care; Migration & Demographics,Descriptive Monitoring,Outcome Tracking,,,Assigned Health & Social Care because the substantive object is healthy ageing and how retail environments can enable it; Descriptive Monitoring because the Opinions and Lifestyle Survey supports profiling attitudes and experiences of older people rather than testing an exposure-outcome relationship or evaluating a named intervention; no tag because age defines the study population rather than a demographic comparison and no pandemic framing appears.,Assigned Health & Social Care and Migration & Demographics because the title focuses on healthy ageing and age-friendly retail environments using the Opinions and Lifestyle Survey; Outcome Tracking because the title frames retail environments as conditions relevant to healthy ageing outcomes; no tag because the entry does not state a comparison across demographic groups or a COVID-19 lens.,,both
2023/036,2023/036,Accelerating Wellbeing Data Analysis,ok,False,0.6666666666666666,False,0.5,True,True,True,True,False,True,Health & Social Care; Data Infrastructure & Methodology,Health & Social Care; Housing & Planning; Data Infrastructure & Methodology,Methodological / Infrastructure Research; Descriptive Monitoring,Methodological / Infrastructure Research,,,"Assigned Health & Social Care and Data Infrastructure & Methodology because the title concerns wellbeing and the framing 'Accelerating Wellbeing Data Analysis' suggests development of wellbeing data analysis capability across Understanding Society, OPN and homelessness datasets; Methodological / Infrastructure Research and Descriptive Monitoring because the visible operation is improving and producing wellbeing measurement and analysis; no tag because no demographic or pandemic lens is central.","Assigned Health & Social Care, Housing & Planning and Data Infrastructure & Methodology because the title centres wellbeing data analysis and the datasets include Understanding Society and the Opinions and Lifestyle Survey alongside Statutory Homelessness Flows; Methodological / Infrastructure Research because “Accelerating Wellbeing Data Analysis” indicates improving or enabling analysis of these data assets; no tag because neither COVID-19 nor a demographic disparity lens is explicit.",,both
2023/057,2023/057,Refugee Integration Outcomes Study- Full Scale Data-Linking Cohort Study,ok,False,0.5,False,0.5,True,True,True,True,False,True,Migration & Demographics,Migration & Demographics; Health & Social Care,Life-Course / Trajectory Analysis; Outcome Tracking,Life-Course / Trajectory Analysis,Demographic disparities / equity tag,Demographic disparities / equity tag,Assigned Migration & Demographics because the project studies refugee integration outcomes using a bespoke Home Office/NHS refugee cohort; Life-Course / Trajectory Analysis and Outcome Tracking because it is a data-linking cohort study following refugees' integration outcomes over time; Demographic disparities / equity tag because refugee status is the central equality-relevant group defining the research question.,Assigned Migration & Demographics and Health & Social Care because the title studies refugee integration outcomes and the datasets link Home Office refugee cohort data with NHS data; Life-Course / Trajectory Analysis because it is described as a full-scale data-linking cohort study of refugee outcomes; Demographic disparities / equity tag because refugees are a migrant/equality-relevant group central to the research.,,both
2023/061,2023/061,New research and improving research capability on economic growth and productivity,ok,False,0.5,False,0.5,True,True,True,True,False,True,Business & Productivity,Business & Productivity; Data Infrastructure & Methodology,Descriptive Monitoring; Methodological / Infrastructure Research,Methodological / Infrastructure Research,,,"Assigned Business & Productivity because the project studies economic growth and productivity using an extensive suite of business surveys; Descriptive Monitoring and Methodological / Infrastructure Research because it combines new substantive productivity research with 'improving research capability', indicating both measurement of productivity patterns and development of research infrastructure; no tag because no demographic or pandemic lens is central.","Assigned Business & Productivity and Data Infrastructure & Methodology because the title concerns economic growth and productivity while also improving research capability using extensive business, innovation, wages, vacancies and management datasets; Methodological / Infrastructure Research because improving research capability is central to the project framing; no tag because no demographic or pandemic lens is indicated.",,both
2023/154,2023/154,Do UK households experience a 'heating-vs-eating' trade-off?,ok,False,0.5,False,0.0,True,True,True,True,False,True,"Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards; Environment & Agriculture",Outcome Tracking,Descriptive Monitoring,,,"Assigned Poverty, Wealth & Living Standards because the 'heating-vs-eating' trade-off concerns household cost-of-living pressures and food/energy spending using the Living Costs and Food Survey; Outcome Tracking because the design tests whether energy cost pressures lead households to reduce food consumption, a naturally occurring exposure-outcome relationship; no tag because demographic comparison and pandemic conditions are not central.","Assigned Poverty, Wealth & Living Standards and Environment & Agriculture because the title examines a household heating-versus-eating trade-off using price and living-cost data, combining material hardship with domestic energy consumption; Descriptive Monitoring because it asks whether households experience this trade-off rather than evaluating a named intervention; no tag assigned because no demographic-equity or COVID-19 lens is central.",,both
2023/170,2023/170,Tax and benefit microsimulation,ok,False,0.6666666666666666,False,0.5,True,True,True,True,False,True,"Public Finance & Taxation; Poverty, Wealth & Living Standards","Public Finance & Taxation; Poverty, Wealth & Living Standards; Data Infrastructure & Methodology",Methodological / Infrastructure Research; Policy Evaluation / Impact Analysis,Methodological / Infrastructure Research,,,"Assigned Public Finance & Taxation and Poverty, Wealth & Living Standards because the tax-benefit system and household resources (Family Resources Survey, Households Below Average Income, expenditure surveys) are the substantive objects; Methodological / Infrastructure Research and Policy Evaluation / Impact Analysis because microsimulation involves building and maintaining a modelling tool used to estimate distributional impacts of tax and benefit policies; no tag because no demographic-equity or pandemic framing is central.","Assigned Public Finance & Taxation, Poverty, Wealth & Living Standards and Data Infrastructure & Methodology because the title is tax and benefit microsimulation and the datasets include household income, expenditure, benefits, labour-force and living-standards surveys used to build a fiscal-distributional modelling tool; Methodological / Infrastructure Research because microsimulation model construction is the central analytical operation; no tag because the entry does not centre COVID-19 or demographic equity comparisons.",,both
2023/174,2023/174,"Geographical inequalities, geographical mobility and social mobility",ok,False,0.3333333333333333,False,0.5,True,True,True,True,False,True,Education & Skills; Labour Market & Employment,Education & Skills; Migration & Demographics,Life-Course / Trajectory Analysis,Descriptive Monitoring; Life-Course / Trajectory Analysis,,,"Assigned Education & Skills and Labour Market & Employment because the LEO dataset links educational records to earnings and employment, and social mobility concerns education-to-work progression; Life-Course / Trajectory Analysis because geographical and social mobility involve following individuals' trajectories over time; no tag because inequality here is geographical rather than demographic or equality-group based.",Assigned Education & Skills and Migration & Demographics because the title focuses on geographical mobility and social mobility using the Longitudinal Education Outcomes extract; Descriptive Monitoring and Life-Course / Trajectory Analysis because it examines inequalities and mobility patterns over longitudinal education-linked outcomes; no tag because the comparison is geographical rather than centred on demographic or pandemic groups.,,both
2023/175,2023/175,Internal migration of young adults and social mobility,ok,False,0.3333333333333333,False,0.5,True,True,True,True,False,True,Migration & Demographics; Labour Market & Employment,Education & Skills; Migration & Demographics,Life-Course / Trajectory Analysis,Outcome Tracking; Life-Course / Trajectory Analysis,,,Assigned Migration & Demographics and Labour Market & Employment because internal migration of young adults is a central population-movement question and the LEO data link this to earnings and social mobility outcomes; Life-Course / Trajectory Analysis because social mobility and young-adult transitions involve following individuals across life stages; no tag because no demographic-equity or pandemic lens is central.,Assigned Education & Skills and Migration & Demographics because the title studies internal migration of young adults and social mobility using Longitudinal Education Outcomes data; Outcome Tracking and Life-Course / Trajectory Analysis because it links migration with social mobility across young-adult trajectories; no tag because young adults define a life-stage population rather than a demographic-equity comparison.,,both
2023/190,2023/190,Understanding productivity: a macroeconomic approach,ok,False,0.5,False,0.0,True,True,True,True,False,True,Business & Productivity; Labour Market & Employment,Business & Productivity,Descriptive Monitoring,Unclear from Register Entry,,,"Assigned Business & Productivity and Labour Market & Employment because the title centres on understanding productivity at the macroeconomic level using earnings and labour-force datasets (ASHE, LFS); Descriptive Monitoring because 'understanding productivity' indicates measuring and characterising productivity patterns rather than testing a specific exposure or policy; no tag because no demographic-comparison or pandemic lens is evident.","Assigned Business & Productivity because the title is about productivity using labour-market survey and earnings datasets in a macroeconomic approach; Unclear from Register Entry because the title does not specify whether the productivity analysis is descriptive, causal, evaluative or methodological; no tag because no demographic-equity or COVID-19 lens is indicated.",,both
2023/211,2023/211,ESCoE: Local Consumption and National Sustainable Well-being,ok,False,0.5,False,0.5,True,True,True,True,False,True,"Poverty, Wealth & Living Standards; Data Infrastructure & Methodology","Poverty, Wealth & Living Standards",Methodological / Infrastructure Research; Descriptive Monitoring,Descriptive Monitoring,,,"Assigned Poverty, Wealth & Living Standards and Data Infrastructure & Methodology because the ESCoE project concerns household consumption and living standards (Living Costs and Food Survey) and, as an economic-statistics centre project, the development of local consumption and sustainable well-being measures; Methodological / Infrastructure Research and Descriptive Monitoring because the operation is developing and applying new indicators to characterise local consumption and national well-being; no tag because no equity or pandemic lens is central.","Assigned Poverty, Wealth & Living Standards because the title focuses on local consumption and sustainable well-being using household and labour surveys including the Living Costs and Food Survey and Understanding Society; Descriptive Monitoring because the project appears to measure local consumption and national well-being patterns; no cross-cutting tag assigned because no demographic equity or COVID-19 lens is explicit.",,both
2023/261,2023/261,Analysis of distributional consequences and considerations for Monetary Policy,ok,False,0.6666666666666666,False,0.0,True,True,True,True,False,True,"Poverty, Wealth & Living Standards; Labour Market & Employment","Poverty, Wealth & Living Standards; Labour Market & Employment; Business & Productivity",Policy Evaluation / Impact Analysis,Outcome Tracking,,,"Assigned Poverty, Wealth & Living Standards and Labour Market & Employment because the project analyses distributional consequences across households using wealth, living-costs, earnings, and labour-force datasets (WAS, LCFS, ASHE, LFS); Policy Evaluation / Impact Analysis because the analytical focus is the distributional effects of and considerations for monetary policy, a deliberate policy action; no tag because the COVID-linked dataset appears incidental and no demographic comparison is central.","Assigned Poverty, Wealth & Living Standards, Labour Market & Employment and Business & Productivity because distributional consequences of monetary policy are studied with wealth, living-costs, earnings, labour-force and business datasets; Outcome Tracking because the title analyses consequences of monetary-policy conditions for distributional outcomes rather than a specific named intervention; no tag because distributional analysis is not explicitly an equality-group comparison and COVID appears only in the dataset list.",,both
2023/275,2023/275,WWTW04 - Walking With The Wounded need project,ok,False,0.0,False,0.0,True,True,True,True,False,True,Labour Market & Employment,Unclear from Register Entry,Descriptive Monitoring,Unclear from Register Entry,,,"Assigned Labour Market & Employment because Walking With The Wounded supports veterans into work and the Annual Population Survey is a labour-market dataset, suggesting a needs assessment of veterans' employment circumstances; Descriptive Monitoring because a 'need project' implies profiling the levels and characteristics of need rather than testing exposures or policies; no tag because no demographic comparison or pandemic condition is evident as central.","Assigned Unclear from Register Entry because the title “WWTW04 - Walking With The Wounded need project” and the broad Annual Population Survey dataset do not identify a specific substantive domain; Unclear from Register Entry because the entry does not reveal whether the project is monitoring, evaluating, predicting, or analysing outcomes; no tag because no COVID-19 or demographic-equity lens is specified.",,both
2023/309,2023/309,Low income household (LIH) debt under austerity,ok,False,0.5,False,0.0,True,True,True,True,False,True,"Poverty, Wealth & Living Standards","Poverty, Wealth & Living Standards; Public Finance & Taxation",Outcome Tracking,Policy Evaluation / Impact Analysis,,,"Assigned Poverty, Wealth & Living Standards because household debt among low-income households is the substantive focus, using the Wealth and Assets Survey; Outcome Tracking because debt outcomes are examined under the broad austerity context rather than a specific named intervention; no tag because comparison is socioeconomic rather than demographic.","Assigned Poverty, Wealth & Living Standards and Public Finance & Taxation because the title studies low-income household debt under austerity using the Wealth and Assets Survey, linking household debt to a fiscal-policy context; Policy Evaluation / Impact Analysis because austerity is the policy regime whose consequences for debt are being analysed; no tag because low income is socioeconomic rather than a demographic-equity group.",,both
